time,ICR,pctl_5y,pctl_10y,zscore_level,delta_4q,delta_delta,slope_4q,delta_zscore,consecutive_declines
1999-08-31,4.216215495932468,10.0,55.00000000000001,0.4162263734746088,-0.05223942662080461,0.7881460116321222,-0.04406758515194616,-0.38020265465339936,0.0
1999-09-30,4.216215495932468,10.0,55.00000000000001,0.4162263734746088,-0.05223942662080461,0.7881460116321222,-0.04406758515194616,-0.38020265465339936,0.0
1999-10-31,4.242040203552419,10.0,55.00000000000001,0.407498159964222,-0.057598785617256176,-0.005359358996451569,-0.03561478592709924,-0.41286700081419186,0.0
1999-11-30,4.242040203552419,10.0,55.00000000000001,0.407498159964222,-0.057598785617256176,-0.005359358996451569,-0.03561478592709924,-0.41286700081419186,0.0
1999-12-31,4.242040203552419,10.0,55.00000000000001,0.407498159964222,-0.057598785617256176,-0.005359358996451569,-0.03561478592709924,-0.41286700081419186,0.0
2000-01-31,4.032677332401537,0.0,45.0,0.16762889107546258,-0.33954500201559945,-0.2819462163983433,-0.04215941830033498,-1.0068640359459566,1.0
2000-02-29,4.032677332401537,0.0,45.0,0.16762889107546258,-0.33954500201559945,-0.2819462163983433,-0.04215941830033498,-1.0068640359459566,1.0
2000-03-31,4.032677332401537,0.0,45.0,0.16762889107546258,-0.33954500201559945,-0.2819462163983433,-0.04215941830033498,-1.0068640359459566,1.0
2000-04-30,3.904938688266397,0.0,40.0,0.0009436860233178279,-0.27687827434290524,0.06266672767269421,-0.11431932941491006,-0.9113723233985687,2.0
2000-05-31,3.904938688266397,0.0,40.0,0.0009436860233178279,-0.27687827434290524,0.06266672767269421,-0.11431932941491006,-0.9113723233985687,2.0
2000-06-30,3.904938688266397,0.0,40.0,0.0009436860233178279,-0.27687827434290524,0.06266672767269421,-0.11431932941491006,-0.9113723233985687,2.0
2000-07-31,3.6819075112418806,0.0,37.5,-0.27310954515129676,-0.5343079846905869,-0.2574297103476817,-0.18081367210667595,-1.4374011115868626,3.0
2000-08-31,3.6819075112418806,0.0,37.5,-0.27310954515129676,-0.5343079846905869,-0.2574297103476817,-0.18081367210667595,-1.4374011115868626,3.0
2000-09-30,3.6819075112418806,0.0,37.5,-0.27310954515129676,-0.5343079846905869,-0.2574297103476817,-0.18081367210667595,-1.4374011115868626,3.0
2000-10-31,3.5111442164952242,0.0,30.0,-0.5018824480653468,-0.7308959870571945,-0.19658800236660756,-0.17876305247434618,-1.7553851125558688,4.0
2000-11-30,3.5111442164952242,0.0,30.0,-0.5018824480653468,-0.7308959870571945,-0.19658800236660756,-0.17876305247434618,-1.7553851125558688,4.0
2000-12-31,3.5111442164952242,0.0,30.0,-0.5018824480653468,-0.7308959870571945,-0.19658800236660756,-0.17876305247434618,-1.7553851125558688,4.0
2001-01-31,3.192653279573621,0.0,22.5,-0.8983026240747025,-0.8400240528279159,-0.10912806577072143,-0.2307619520824986,-1.8432488723835094,5.0
2001-02-28,3.192653279573621,0.0,22.5,-0.8983026240747025,-0.8400240528279159,-0.10912806577072143,-0.2307619520824986,-1.8432488723835094,5.0
2001-03-31,3.192653279573621,0.0,22.5,-0.8983026240747025,-0.8400240528279159,-0.10912806577072143,-0.2307619520824986,-1.8432488723835094,5.0
2001-04-30,2.8862737891617076,0.0,15.0,-1.2875011075595488,-1.0186648991046892,-0.17864084627677324,-0.2705392103162126,-2.0183120160035655,6.0
2001-05-31,2.8862737891617076,0.0,15.0,-1.2875011075595488,-1.0186648991046892,-0.17864084627677324,-0.2705392103162126,-2.0183120160035655,6.0
2001-06-30,2.8862737891617076,0.0,15.0,-1.2875011075595488,-1.0186648991046892,-0.17864084627677324,-0.2705392103162126,-2.0183120160035655,6.0
2001-07-31,2.718265181238976,0.0,12.5,-1.5195148969654346,-0.9636423300029047,0.05502256910178449,-0.26850165961806627,-1.7929648421199829,7.0
2001-08-31,2.718265181238976,0.0,12.5,-1.5195148969654346,-0.9636423300029047,0.05502256910178449,-0.26850165961806627,-1.7929648421199829,7.0
2001-09-30,2.718265181238976,0.0,12.5,-1.5195148969654346,-0.9636423300029047,0.05502256910178449,-0.26850165961806627,-1.7929648421199829,7.0
2001-10-31,2.6450580267381567,0.0,7.5,-1.6291565293593633,-0.8660861897570675,0.09755614024583714,-0.1810794366429127,-1.5338995754651548,8.0
2001-11-30,2.6450580267381567,0.0,7.5,-1.6291565293593633,-0.8660861897570675,0.09755614024583714,-0.1810794366429127,-1.5338995754651548,8.0
2001-12-31,2.6450580267381567,0.0,7.5,-1.6291565293593633,-0.8660861897570675,0.09755614024583714,-0.1810794366429127,-1.5338995754651548,8.0
2002-01-31,2.43129153309198,0.0,0.0,-1.8700369924812634,-0.7613617464816409,0.10472444327542663,-0.1438153922710007,-1.2926327629331242,9.0
2002-02-28,2.43129153309198,0.0,0.0,-1.8700369924812634,-0.7613617464816409,0.10472444327542663,-0.1438153922710007,-1.2926327629331242,9.0
2002-03-31,2.43129153309198,0.0,0.0,-1.8700369924812634,-0.7613617464816409,0.10472444327542663,-0.1438153922710007,-1.2926327629331242,9.0
2002-04-30,2.0007529778914805,0.0,0.0,-2.2818664084370024,-0.8855208112702271,-0.12415906478858618,-0.23663031036886675,-1.4156690023147007,10.0
2002-05-31,2.0007529778914805,0.0,0.0,-2.2818664084370024,-0.8855208112702271,-0.12415906478858618,-0.23663031036886675,-1.4156690023147007,10.0
2002-06-30,2.0007529778914805,0.0,0.0,-2.2818664084370024,-0.8855208112702271,-0.12415906478858618,-0.23663031036886675,-1.4156690023147007,10.0
2002-07-31,2.3098531783077316,5.0,2.5,-1.8788633626237505,-0.40841200293124436,0.4771088083389827,-0.1436153100491779,-0.6189025120432725,0.0
2002-08-31,2.3098531783077316,5.0,2.5,-1.8788633626237505,-0.40841200293124436,0.4771088083389827,-0.1436153100491779,-0.6189025120432725,0.0
2002-09-30,2.3098531783077316,5.0,2.5,-1.8788633626237505,-0.40841200293124436,0.4771088083389827,-0.1436153100491779,-0.6189025120432725,0.0
2002-10-31,2.6768504122381516,20.0,10.0,-1.4424821685312765,0.03179238549999486,0.4402043884312392,0.10457768378547615,0.10802207455190846,0.0
2002-11-30,2.6768504122381516,20.0,10.0,-1.4424821685312765,0.03179238549999486,0.4402043884312392,0.10457768378547615,0.10802207455190846,0.0
2002-12-31,2.6768504122381516,20.0,10.0,-1.4424821685312765,0.03179238549999486,0.4402043884312392,0.10457768378547615,0.10802207455190846,0.0
2003-01-31,3.008230138492312,35.0,20.0,-1.0768579374246097,0.5769386054003318,0.545146219900337,0.33894287157329134,0.9796638481992946,0.0
2003-02-28,3.008230138492312,35.0,20.0,-1.0768579374246097,0.5769386054003318,0.545146219900337,0.33894287157329134,0.9796638481992946,0.0
2003-03-31,3.008230138492312,35.0,20.0,-1.0768579374246097,0.5769386054003318,0.545146219900337,0.33894287157329134,0.9796638481992946,0.0
2003-04-30,3.4587922702757066,45.0,27.500000000000004,-0.5847015132599952,1.458039292384226,0.8811006869838942,0.37781970021580824,2.2378155430844666,0.0
2003-05-31,3.4587922702757066,45.0,27.500000000000004,-0.5847015132599952,1.458039292384226,0.8811006869838942,0.37781970021580824,2.2378155430844666,0.0
2003-06-30,3.4587922702757066,45.0,27.500000000000004,-0.5847015132599952,1.458039292384226,0.8811006869838942,0.37781970021580824,2.2378155430844666,0.0
2003-07-31,3.6793834339122347,55.00000000000001,35.0,-0.3513255941521611,1.369530255604503,-0.088509036779723,0.3458161196805644,1.982723965964732,0.0
2003-08-31,3.6793834339122347,55.00000000000001,35.0,-0.3513255941521611,1.369530255604503,-0.088509036779723,0.3458161196805644,1.982723965964732,0.0
2003-09-30,3.6793834339122347,55.00000000000001,35.0,-0.3513255941521611,1.369530255604503,-0.088509036779723,0.3458161196805644,1.982723965964732,0.0
2003-10-31,3.6968326814821513,65.0,37.5,-0.3346037229314014,1.0199822692439997,-0.3495479863605033,0.2286398792606041,1.4347788767901883,0.0
2003-11-30,3.6968326814821513,65.0,37.5,-0.3346037229314014,1.0199822692439997,-0.3495479863605033,0.2286398792606041,1.4347788767901883,0.0
2003-12-31,3.6968326814821513,65.0,37.5,-0.3346037229314014,1.0199822692439997,-0.3495479863605033,0.2286398792606041,1.4347788767901883,0.0
2004-01-31,4.058825246516081,80.0,45.0,0.061282442153414954,1.050595108023769,0.03061283877976928,0.18175481762910342,1.4400523718156597,0.0
2004-02-29,4.058825246516081,80.0,45.0,0.061282442153414954,1.050595108023769,0.03061283877976928,0.18175481762910342,1.4400523718156597,0.0
2004-03-31,4.058825246516081,80.0,45.0,0.061282442153414954,1.050595108023769,0.03061283877976928,0.18175481762910342,1.4400523718156597,0.0
2004-04-30,4.398990353196515,100.0,65.0,0.43416535867218436,0.9401980829208085,-0.11039702510296046,0.2520813322886763,1.2727785607088489,0.0
2004-05-31,4.398990353196515,100.0,65.0,0.43416535867218436,0.9401980829208085,-0.11039702510296046,0.2520813322886763,1.2727785607088489,0.0
2004-06-30,4.398990353196515,100.0,65.0,0.43416535867218436,0.9401980829208085,-0.11039702510296046,0.2520813322886763,1.2727785607088489,0.0
2004-07-31,5.003815639181305,100.0,82.5,1.0752917859827424,1.32443220526907,0.3842341223482615,0.42611139797778824,1.7529841272745461,0.0
2004-08-31,5.003815639181305,100.0,82.5,1.0752917859827424,1.32443220526907,0.3842341223482615,0.42611139797778824,1.7529841272745461,0.0
2004-09-30,5.003815639181305,100.0,82.5,1.0752917859827424,1.32443220526907,0.3842341223482615,0.42611139797778824,1.7529841272745461,0.0
2004-10-31,5.492277992277992,100.0,100.0,1.537560426387945,1.7954453107958406,0.47101310552677056,0.4905183523270517,2.227665260720283,0.0
2004-11-30,5.492277992277992,100.0,100.0,1.537560426387945,1.7954453107958406,0.47101310552677056,0.4905183523270517,2.227665260720283,0.0
2004-12-31,5.492277992277992,100.0,100.0,1.537560426387945,1.7954453107958406,0.47101310552677056,0.4905183523270517,2.227665260720283,0.0
2005-01-31,5.7170563329567035,100.0,100.0,1.6842637099432072,1.6582310864406224,-0.13721422435521813,0.44426602923772446,1.9476787281974859,0.0
2005-02-28,5.7170563329567035,100.0,100.0,1.6842637099432072,1.6582310864406224,-0.13721422435521813,0.44426602923772446,1.9476787281974859,0.0
2005-03-31,5.7170563329567035,100.0,100.0,1.6842637099432072,1.6582310864406224,-0.13721422435521813,0.44426602923772446,1.9476787281974859,0.0
2005-04-30,5.650967021693872,95.0,97.5,1.5450301670679014,1.251976668497357,-0.40625441794326544,0.21662324882164014,1.393601212445366,1.0
2005-05-31,5.650967021693872,95.0,97.5,1.5450301670679014,1.251976668497357,-0.40625441794326544,0.21662324882164014,1.393601212445366,1.0
2005-06-30,5.650967021693872,95.0,97.5,1.5450301670679014,1.251976668497357,-0.40625441794326544,0.21662324882164014,1.393601212445366,1.0
2005-07-31,6.674783175210717,100.0,100.0,2.340995567303576,1.670967536029412,0.41899086753205506,0.348142623753533,1.787237912430796,0.0
