as_of_date,icr_raw,delta_4q,zscore_10y,pctl_10y,pctl_flipped
1969-06-30,8.386069651741293,-0.9461944783328118,-1.6971161341432897,0.0,100.0
1969-07-31,7.754999581624969,-1.4977956478500607,-1.929135306253517,0.0,100.0
1969-08-31,7.754999581624969,-1.4977956478500607,-1.929135306253517,0.0,100.0
1969-09-30,7.754999581624969,-1.4977956478500607,-1.929135306253517,0.0,100.0
1969-10-31,7.030940594059405,-2.0447179724098614,-2.288504323220317,0.0,100.0
1969-11-30,7.030940594059405,-2.0447179724098614,-2.288504323220317,0.0,100.0
1969-12-31,7.030940594059405,-2.0447179724098614,-2.288504323220317,0.0,100.0
1970-01-31,6.3125979763431666,-2.3460187160834174,-2.4696782446270613,0.0,100.0
1970-02-28,6.3125979763431666,-2.3460187160834174,-2.4696782446270613,0.0,100.0
1970-03-31,6.3125979763431666,-2.3460187160834174,-2.4696782446270613,0.0,100.0
1970-04-30,5.746150317803552,-2.6399193339377414,-2.5087157243121543,0.0,100.0
1970-05-31,5.746150317803552,-2.6399193339377414,-2.5087157243121543,0.0,100.0
1970-06-30,5.746150317803552,-2.6399193339377414,-2.5087157243121543,0.0,100.0
1970-07-31,4.898902021959561,-2.8560975596654083,-2.698159935273871,0.0,100.0
1970-08-31,4.898902021959561,-2.8560975596654083,-2.698159935273871,0.0,100.0
1970-09-30,4.898902021959561,-2.8560975596654083,-2.698159935273871,0.0,100.0
1970-10-31,4.64735829845005,-2.3835822956093553,-2.5458535725887557,0.0,100.0
1970-11-30,4.64735829845005,-2.3835822956093553,-2.5458535725887557,0.0,100.0
1970-12-31,4.64735829845005,-2.3835822956093553,-2.5458535725887557,0.0,100.0
1971-01-31,4.53943784726005,-1.7731601290831165,-2.35156118728224,0.0,100.0
1971-02-28,4.53943784726005,-1.7731601290831165,-2.35156118728224,0.0,100.0
1971-03-31,4.53943784726005,-1.7731601290831165,-2.35156118728224,0.0,100.0
1971-04-30,4.2218063205176195,-1.524343997285932,-2.251985230510869,0.0,100.0
1971-05-31,4.2218063205176195,-1.524343997285932,-2.251985230510869,0.0,100.0
1971-06-30,4.2218063205176195,-1.524343997285932,-2.251985230510869,0.0,100.0
1971-07-31,4.733177296664717,-0.16572472529484372,-1.9009010716132573,7.5,92.5
1971-08-31,4.733177296664717,-0.16572472529484372,-1.9009010716132573,7.5,92.5
1971-09-30,4.733177296664717,-0.16572472529484372,-1.9009010716132573,7.5,92.5
1971-10-31,4.841901427131413,0.1945431286813628,-1.735695432757496,10.0,90.0
1971-11-30,4.841901427131413,0.1945431286813628,-1.735695432757496,10.0,90.0
1971-12-31,4.841901427131413,0.1945431286813628,-1.735695432757496,10.0,90.0
1972-01-31,4.9424935311823415,0.4030556839222914,-1.596112880888227,15.0,85.0
1972-02-29,4.9424935311823415,0.4030556839222914,-1.596112880888227,15.0,85.0
1972-03-31,4.9424935311823415,0.4030556839222914,-1.596112880888227,15.0,85.0
1972-04-30,5.030249017038008,0.8084426965203884,-1.4796781624684805,17.5,82.5
1972-05-31,5.030249017038008,0.8084426965203884,-1.4796781624684805,17.5,82.5
1972-06-30,5.030249017038008,0.8084426965203884,-1.4796781624684805,17.5,82.5
1972-07-31,5.233165985197453,0.4999886885327358,-1.3346765677317696,20.0,80.0
1972-08-31,5.233165985197453,0.4999886885327358,-1.3346765677317696,20.0,80.0
1972-09-30,5.233165985197453,0.4999886885327358,-1.3346765677317696,20.0,80.0
1972-10-31,5.199175614472546,0.35727418734113314,-1.2751984599834933,20.0,80.0
1972-11-30,5.199175614472546,0.35727418734113314,-1.2751984599834933,20.0,80.0
1972-12-31,5.199175614472546,0.35727418734113314,-1.2751984599834933,20.0,80.0
1973-01-31,5.308089586333614,0.3655960551512729,-1.1762514954974161,25.0,75.0
