date,V1,V2,V4,V5,V7,V8,V1_fuel,V2_fuel,V4_fuel,V5_fuel,V7_fuel,V8_fuel,FuelScore
1993-04-30,40.2626924282,,2.2192137759148065,10.430733,20.3,1.0542242514434628,2.5,,18.33333333333333,0.0,88.76798608983762,21.749311400884164,21.952877756223604
1993-05-31,40.2626924282,,2.2192137759148065,10.430733,20.4,1.0542242514434628,2.5,,19.16666666666667,0.0,88.84924551288447,22.157805511702318,22.156752207408033
1993-06-30,39.3695285095,,2.2192137759148065,10.430733,20.5,1.0254173181745878,0.0,,20.0,0.0,88.88598868967307,20.8113670323612,21.38769576513375
1993-07-31,39.3695285095,,2.280411909187467,10.365702,20.583333333333332,1.0254173181745878,0.0,,13.333333333333329,0.0,88.79737997689246,21.289992761404115,21.248888561101413
1993-08-31,39.3695285095,,2.280411909187467,10.365702,20.666666666666668,1.0254173181745878,0.0,,14.166666666666671,0.0,88.71677650392552,21.75830356133428,21.452329372847114
1993-09-30,38.8551292783,,2.280411909187467,10.365702,20.75,1.118373352384544,0.0,,15.0,0.0,88.64492138738787,27.96366252639667,23.819879609460624
1993-10-31,38.8551292783,,2.6049056475929127,10.417195,20.833333333333332,1.118373352384544,0.0,,3.3333333333333286,5.0,88.58260010151429,28.32047464764228,24.9738814899095
1993-11-30,38.8551292783,,2.6049056475929127,10.417195,20.916666666666668,1.118373352384544,0.0,,4.166666666666657,5.0,88.5306499647375,28.672736329479175,25.137640557873038
1993-12-31,37.8656685731,,2.6049056475929127,10.417195,21.0,1.208902968556104,0.0,,5.0,5.0,88.48997084325023,34.644198683255446,27.421438763328833
1994-01-31,37.8656685731,,2.6202042957128855,10.380138,21.5,1.208902968556104,0.0,,3.3333333333333286,5.0,91.69439536149994,34.93770967605762,27.910454022540048
1994-02-28,37.8656685731,,2.6202042957128855,10.380138,21.3,1.208902968556104,0.0,,4.166666666666657,5.0,89.537840748692,35.229964669743744,27.752736733474322
1994-03-31,37.1941271617,,2.6202042957128855,10.380138,21.1,1.265337700437258,0.0,,5.0,5.0,87.44376938887235,39.05209805652075,28.934656220528197
