date,V1,V2,V4,V5,V7,V8,V4_zscore,V4_delta_z,V4_crack,V4_intensity,V8_zscore,V8_delta_z,V8_crack,V8_intensity,V1_zscore,V1_delta_z,V1_crack,V1_intensity,V2_zscore,V2_delta_z,V2_crack,V2_intensity,V5_zscore,V5_delta_z,V5_crack,V5_intensity,V7_zscore,V7_delta_z,V7_crack,V7_intensity,CrackScore
1945-12-31,,,,,,0.8190929788291942,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1946-01-31,,,,,,0.8190929788291942,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1946-02-28,,,,,,0.8190929788291942,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1946-03-31,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-04-30,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-05-31,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-06-30,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-07-31,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-08-31,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-09-30,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-10-31,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-11-30,27.3372039596,,,,,0.8190929788291942,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1946-12-31,27.3372039596,,,,,0.4050294566877591,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-01-31,27.3372039596,,,,,0.4050294566877591,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-02-28,27.3372039596,,,,,0.4050294566877591,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-03-31,31.4624571885,,,,,0.4050294566877591,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-04-30,31.4624571885,,,,,0.4050294566877591,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-05-31,31.4624571885,,,,,0.4050294566877591,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-06-30,31.4624571885,,,,,0.4050294566877591,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-07-31,31.4624571885,,39.98044328552803,,,0.4050294566877591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-08-31,31.4624571885,,39.98044328552803,,,0.4050294566877591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-09-30,31.4624571885,,39.98044328552803,,,0.4050294566877591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-10-31,31.4624571885,,37.59973924380704,,,0.4050294566877591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-11-30,31.4624571885,,37.59973924380704,,,0.4050294566877591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1947-12-31,31.4624571885,,37.59973924380704,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-01-31,31.4624571885,,37.01953125,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-02-29,31.4624571885,,37.01953125,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-03-31,32.7833539939,,37.01953125,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-04-30,32.7833539939,,40.235677083333336,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-05-31,32.7833539939,,40.235677083333336,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-06-30,32.7833539939,,40.235677083333336,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-07-31,32.7833539939,,39.99626400996264,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-08-31,32.7833539939,,39.99626400996264,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-09-30,32.7833539939,,39.99626400996264,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-10-31,32.7833539939,,40.60796139927624,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-11-30,32.7833539939,,40.60796139927624,,,0.4391385703139564,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1948-12-31,32.7833539939,,40.60796139927624,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-01-31,32.7833539939,,37.60481099656357,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-02-28,32.7833539939,,37.60481099656357,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-03-31,30.7352296959,,37.60481099656357,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-04-30,30.7352296959,,33.9783315276273,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-05-31,30.7352296959,,33.9783315276273,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-06-30,30.7352296959,,33.9783315276273,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-07-31,30.7352296959,,28.12938816449348,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-08-31,30.7352296959,,28.12938816449348,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-09-30,30.7352296959,,28.12938816449348,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-10-31,30.7352296959,,23.75588235294118,,,0.4201155491361591,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-11-30,30.7352296959,,23.75588235294118,,,0.4201155491361591,,,0.0,,-0.5774252577729923,,0.0,,,,0.0,,,,,,,,,,,,,,
1949-12-31,30.7352296959,,23.75588235294118,,,0.6301045622431463,,,0.0,,0.6175249358493594,,0.0,,,,0.0,,,,,,,,,,,,,,
1950-01-31,30.7352296959,,25.10515873015873,,,0.6301045622431463,,,0.0,,0.6090794055827433,,0.0,,,,0.0,,,,,,,,,,,,,,
1950-02-28,30.7352296959,,25.10515873015873,,,0.6301045622431463,,,0.0,,0.6009728845916311,,0.0,,0.0766054033156434,,0.0,,,,,,,,,,,,,,
1950-03-31,26.9269769056,,25.10515873015873,,,0.6301045622431463,,,0.0,,0.5931832089471648,,0.0,,-1.722362864286411,,0.0,,,,,,,,,,,,,,
1950-04-30,26.9269769056,,25.623069001029865,,,0.6301045622431463,,,0.0,,0.5856901961126338,,0.0,,-1.6559954914453618,,0.0,,,,,,,,,,,,,,
