date,V1,V2,V4,V5,V7,V8,V4_dz,V8_dz,V1_dz,V2_dz,V5_dz,V7_dz
1966-02-28,35.4791066116,,11.449727587914808,,,0.814507098022514,-0.22552447658185193,-3.4800930743290035,1.0383868453503373,,,
1966-03-31,36.9035339391,,11.449727587914808,,,0.8590197069226881,-0.22354966513464558,-1.553366286378754,1.3592593600276959,,,
1966-04-30,36.9035339391,,11.623635500711911,,,0.8590197069226881,-0.3305809269284864,-1.524872135930844,1.2273617762757034,,,
1966-05-31,36.9035339391,,11.623635500711911,,,0.8590197069226881,-0.3270823025151163,-1.4967654394208751,1.1124307074589954,,,
1966-06-30,36.8414195349,,11.623635500711911,,,0.9192294398431928,-0.3234878631453143,-0.2057452856004079,0.4953203387876348,,,
1966-07-31,36.8414195349,,11.293556085918857,,,0.9192294398431928,-0.0717364828666367,-0.1890558736261459,0.4134969132376809,,,
1966-08-31,36.8414195349,,11.293556085918857,,,0.9192294398431928,-0.06929893069684823,-0.17226685041226833,0.3396008349994264,,,
1966-09-30,37.6510670686,,11.293556085918857,,,0.9590569571014878,-0.0665230467356075,1.206143941549254,0.11869112232431567,,,
1966-10-31,37.6510670686,,10.844970076944998,,,0.9590569571014878,0.06099766455803857,1.2121796979850177,0.06221893719910421,,,
1966-11-30,37.6510670686,,10.844970076944998,,,0.9590569571014878,0.06819751855464073,1.2184237520665584,0.0127110414548679,,,
1966-12-31,37.3301469838,,10.844970076944998,,,0.9009363681513692,0.07688258750386523,0.9581890719079591,-0.14031692446936983,,,
1967-01-31,37.3301469838,,10.236311631707984,,,0.9009363681513692,0.2170933494789119,0.943428707561616,-0.1591126781731913,,,
1967-02-28,37.3301469838,,10.236311631707984,,,0.9009363681513692,0.22480209818869323,0.9294215677376678,-0.17668977929148966,,,
1967-03-31,37.6764960076,,10.236311631707984,,,0.8669553395563929,0.23398760999897594,0.8142686038547163,-0.9501165250159089,,,
1967-04-30,37.6764960076,,9.576492051081573,,,0.8669553395563929,0.4962766531616414,0.8279135444928601,-0.8675882891403988,,,
