as_of_date,V9_Level,zscore_10y,pctl_5y,pctl_10y,delta_4q,delta_zscore,pctl_ushape,slope_4q
1996-02-29,11.799999999999999,,,,,,,
1996-03-31,11.799999999999999,,,,,,,
1996-04-30,11.799999999999999,,,,,,,
1996-05-31,7.8,,,,,,,
1996-06-30,7.8,,,,,,,
1996-07-31,7.8,,,,,,,
1996-08-31,13.233333333333334,,,,,,,
1996-09-30,13.233333333333334,,,,,,,
1996-10-31,13.233333333333334,,,,,,,
1996-11-30,9.333333333333332,,,,,,,
1996-12-31,9.333333333333332,,,,,,,
1997-01-31,9.333333333333332,,,,,,,
1997-02-28,7.6000000000000005,,,,-4.199999999999998,,,-0.4500000000000024
1997-03-31,7.6000000000000005,,,,-4.199999999999998,,,-0.4500000000000024
1997-04-30,7.6000000000000005,,,,-4.199999999999998,,,-0.4500000000000024
1997-05-31,10.666666666666666,,,,2.8666666666666663,,,-0.9433333333333356
1997-06-30,10.666666666666666,,,,2.8666666666666663,,,-0.9433333333333356
1997-07-31,10.666666666666666,,,,2.8666666666666663,,,-0.9433333333333356
1997-08-31,5.166666666666667,,,,-8.066666666666666,,,-0.9433333333333345
1997-09-30,5.166666666666667,,,,-8.066666666666666,,,-0.9433333333333345
1997-10-31,5.166666666666667,,,,-8.066666666666666,,,-0.9433333333333345
1997-11-30,4.833333333333333,,,,-4.499999999999999,,,-1.380000000000002
1997-12-31,4.833333333333333,,,,-4.499999999999999,,,-1.380000000000002
1998-01-31,4.833333333333333,,,,-4.499999999999999,,,-1.380000000000002
1998-02-28,8.633333333333333,,,,1.0333333333333323,,,-0.6433333333333356
1998-03-31,8.633333333333333,,,,1.0333333333333323,,,-0.6433333333333356
1998-04-30,8.633333333333333,,,,1.0333333333333323,,,-0.6433333333333356
1998-05-31,2.4666666666666672,,,,-8.2,,,-0.4300000000000009
1998-06-30,2.4666666666666672,,,,-8.2,,,-0.4300000000000009
1998-07-31,2.4666666666666672,,,,-8.2,,,-0.4300000000000009
1998-08-31,4.8999999999999995,,,,-0.2666666666666675,,,-0.5966666666666677
1998-09-30,4.8999999999999995,,,,-0.2666666666666675,,,-0.5966666666666677
1998-10-31,4.8999999999999995,,,,-0.2666666666666675,,,-0.5966666666666677
1998-11-30,22.366666666666664,,,,17.53333333333333,,,4.3633333333333315
1998-12-31,22.366666666666664,,,,17.53333333333333,,,4.3633333333333315
1999-01-31,22.366666666666664,,,,17.53333333333333,,,4.3633333333333315
1999-02-28,6.133333333333333,,,,-2.5,,,2.846666666666666
1999-03-31,6.133333333333333,,,,-2.5,,,2.846666666666666
1999-04-30,6.133333333333333,,,,-2.5,,,2.846666666666666
1999-05-31,10.533333333333333,,,,8.066666666666666,,,0.06666666666666557
1999-06-30,10.533333333333333,,,,8.066666666666666,,,0.06666666666666557
1999-07-31,10.533333333333333,,,,8.066666666666666,,,0.06666666666666557
1999-08-31,4.033333333333333,,,,-0.8666666666666663,,,-5.0600000000000005
1999-09-30,4.033333333333333,,,,-0.8666666666666663,,,-5.0600000000000005
1999-10-31,4.033333333333333,,,,-0.8666666666666663,,,-5.0600000000000005
1999-11-30,5.3,,,,-17.066666666666663,,,-0.9000000000000012
1999-12-31,5.3,,,,-17.066666666666663,,,-0.9000000000000012
2000-01-31,5.3,,,,-17.066666666666663,,,-0.9000000000000012
2000-02-29,8.366666666666667,,,,2.2333333333333343,,,-0.5233333333333345
2000-03-31,8.366666666666667,,,,2.2333333333333343,,,-0.5233333333333345
2000-04-30,8.366666666666667,,,,2.2333333333333343,,,-0.5233333333333345
2000-05-31,16.2,,,,5.666666666666666,,,3.956666666666667
2000-06-30,16.2,,,,5.666666666666666,,,3.956666666666667
2000-07-31,16.2,,,,5.666666666666666,,,3.956666666666667
2000-08-31,18.3,,,,14.266666666666667,,,4.683333333333333
2000-09-30,18.3,,,,14.266666666666667,,,4.683333333333333
2000-10-31,18.3,,,,14.266666666666667,,,4.683333333333333
2000-11-30,26.5,2.563975595814148,,,21.2,,,5.6499999999999995
2000-12-31,26.5,2.563975595814148,,,21.2,,,5.6499999999999995
2001-01-31,26.5,2.563975595814148,,,21.2,,,5.6499999999999995
2001-02-28,38.96666666666667,3.1063951397005707,100.0,,30.6,,,7.649999999999999
2001-03-31,38.96666666666667,3.1063951397005707,100.0,,30.6,,,7.649999999999999
2001-04-30,38.96666666666667,3.1063951397005707,100.0,,30.6,,,7.649999999999999
2001-05-31,35.76666666666667,2.301676354863097,95.0,,19.566666666666674,,,6.486666666666668
2001-06-30,35.76666666666667,2.301676354863097,95.0,,19.566666666666674,,,6.486666666666668
2001-07-31,35.76666666666667,2.301676354863097,95.0,,19.566666666666674,,,6.486666666666668
