date,margin,mktcap,ratio
1945-10-01,1252.0,152852.0,0.8190929788291942
1946-01-01,,,
1946-04-01,,,
1946-07-01,,,
1946-10-01,594.0,146656.0,0.40502945668775914
1947-01-01,,,
1947-04-01,,,
1947-07-01,,,
1947-10-01,636.0,144829.0,0.4391385703139564
1948-01-01,,,
1948-04-01,,,
1948-07-01,,,
1948-10-01,605.0,144008.0,0.4201155491361591
1949-01-01,,,
1949-04-01,,,
1949-07-01,,,
1949-10-01,969.0,153784.0,0.6301045622431463
1950-01-01,,,
1950-04-01,,,
1950-07-01,,,
1950-10-01,1492.0,177528.0,0.8404308052814203
1951-01-01,,,
1951-04-01,,,
1951-07-01,,,
1951-10-01,1421.0,199082.0,0.7137762329090526
1952-01-01,1422.0,202048.0,0.7037931580614508
1952-04-01,1454.0,208759.0,0.6964969174981678
1952-07-01,1465.0,208511.0,0.7026008220189822
1952-10-01,1502.0,198678.0,0.7559971411026888
1953-01-01,1665.0,195249.0,0.8527572484366117
1953-04-01,1854.0,186022.0,0.9966563094687726
1953-07-01,1789.0,181485.0,0.9857563986004353
1953-10-01,1866.0,196403.0,0.9500873204584451
1954-01-01,1888.0,208840.0,0.9040413713847922
1954-04-01,2045.0,225418.0,0.9072035063748237
1954-07-01,2290.0,245245.0,0.9337601174335868
1954-10-01,2672.0,248357.0,1.0758706217259832
1955-01-01,2971.0,255684.0,1.1619811955382424
1955-04-01,3033.0,279570.0,1.0848803519690955
1955-07-01,3133.0,295380.0,1.0606676145981448
1955-10-01,3108.0,298673.0,1.0406029336431482
1956-01-01,3099.0,317228.0,0.9768998953434123
1956-04-01,3102.0,307689.0,1.0081608377290057
1956-07-01,3097.0,301922.0,1.0257616205510034
1956-10-01,3142.0,323618.0,0.970897786896897
1957-01-01,3015.0,309276.0,0.9748574089163078
1957-04-01,3210.0,328675.0,0.9766486650946984
1957-07-01,3106.0,300970.0,1.031996544506097
1957-10-01,2805.0,301375.0,0.9307341352136043
1958-01-01,3054.0,317251.0,0.9626447197959974
1958-04-01,3486.0,334908.0,1.0408828693253074
1958-07-01,3554.0,367416.0,0.9672959261436628
1958-10-01,3770.0,382051.0,0.9867792519846827
1959-01-01,3804.0,389733.0,0.9760528361724564
1959-04-01,3901.0,404640.0,0.9640668248319493
1959-07-01,3747.0,398247.0,0.9408733775772322
1959-10-01,3773.0,420820.0,0.8965828620312724
1960-01-01,3460.0,397831.0,0.8697160352008768
1960-04-01,3507.0,406755.0,0.8621897702548218
1960-07-01,3585.0,380195.0,0.9429371769749734
1960-10-01,3649.0,425058.0,0.8584710792409507
1961-01-01,4022.0,471012.0,0.8539060575951355
1961-04-01,4482.0,472076.0,0.9494233979274523
1961-07-01,4441.0,484215.0,0.917154569767562
1961-10-01,4723.0,521094.0,0.9063623837541788
1962-01-01,4379.0,510450.0,0.8578705064159075
1962-04-01,4001.0,390218.0,1.0253243059008041
1962-07-01,4305.0,412673.0,1.043198852360101
1962-10-01,4564.0,503823.0,0.9058736897680336
1963-01-01,4645.0,532830.0,0.8717602237111273
1963-04-01,5423.0,558992.0,0.9701391075364227
1963-07-01,5893.0,582272.0,1.012069960430864
1963-10-01,6095.0,558475.0,1.0913648775683782
1964-01-01,5926.0,593215.0,0.9989632763837731
1964-04-01,5927.0,612252.0,0.9680654371075962
1964-07-01,5764.0,633228.0,0.9102566532117974
1964-10-01,5610.0,647246.0,0.8667492730739162
1965-01-01,5572.0,663263.0,0.8400890747712445
1965-04-01,5592.0,637854.0,0.8766896499825979
1965-07-01,5420.0,693718.0,0.781297299479039
1965-10-01,5986.0,734923.0,0.814507098022514
1966-01-01,6137.0,714419.0,0.8590197069226881
1966-04-01,6303.0,685683.0,0.9192294398431928
1966-07-01,5905.0,615709.0,0.9590569571014878
1966-10-01,5950.0,660424.0,0.9009363681513693
1967-01-01,6479.0,747328.0,0.8669553395563929
1967-04-01,6983.0,759549.0,0.9193613578584133
1967-07-01,7922.0,809759.0,0.978315770494678
1967-10-01,9164.0,835107.0,1.0973444121531732
1968-01-01,8593.0,776014.0,1.1073253833049403
1968-04-01,10514.0,884503.0,1.188690145765475
1968-07-01,10759.0,901429.0,1.1935493533045864
1968-10-01,12005.0,996085.0,1.2052184301540532
1969-01-01,10271.0,946300.0,1.0853851844024094
1969-04-01,9841.0,907895.0,1.083935917699734
1969-07-01,8216.0,882607.0,0.9308786356781671
1969-10-01,8476.0,840609.0,1.0083165895202169
1970-01-01,7298.0,815012.0,0.8954469382045909
1970-04-01,6532.0,648418.0,1.0073748723817044
1970-07-01,6795.0,755152.0,0.8998188444180775
1970-10-01,7188.0,831233.0,0.8647394894091067
1971-01-01,7302.0,920098.0,0.793611115337714
1971-04-01,8159.0,918939.0,0.8878717738609418
1971-07-01,8785.0,911074.0,0.9642465924831571
1971-10-01,9764.0,974871.0,1.0015684126412623
1972-01-01,11646.0,1034722.0,1.125519704809601
1972-04-01,13000.0,1033232.0,1.2581878997166174
1972-07-01,13394.0,1058729.0,1.265101834369324
1972-10-01,13485.0,1203281.0,1.1206858580830248
1973-01-01,12401.0,1117824.0,1.1093875243329898
1973-04-01,10845.0,1033342.0,1.0495073267127437
1973-07-01,10181.0,1104063.0,0.9221394068997875
1973-10-01,9149.0,938338.0,0.975021793852535
1974-01-01,8502.0,911785.0,0.9324566646742379
1974-04-01,8033.0,817463.0,0.9826744452042478
1974-07-01,7732.0,610689.0,1.2661109009659581
1974-10-01,7583.0,632492.0,1.1989084446917906
1975-01-01,7581.0,775904.0,0.9770538623334846
1975-04-01,7709.0,893211.0,0.8630659497028138
1975-07-01,8030.0,782809.0,1.0257930095336154
1975-10-01,8605.0,839378.0,1.0251638713428277
1976-01-01,9959.0,968562.0,1.0282253485063424
1976-04-01,11223.0,987996.0,1.135935773019324
1976-07-01,11645.0,998860.0,1.165829045111427
1976-10-01,12510.0,1034228.0,1.2095978836388108
1977-01-01,12936.0,957603.0,1.3508729609243078
1977-04-01,14024.0,986596.0,1.421453158131596
1977-07-01,13981.0,947989.0,1.4748061422653638
1977-10-01,14527.0,922579.0,1.574607702971778
1978-01-01,16401.0,875995.0,1.8722709604506875
1978-04-01,18950.0,943712.0,2.0080278729103793
1978-07-01,20731.0,1017253.0,2.0379394309970085
1978-10-01,17145.0,969619.0,1.7682203009635744
1979-01-01,16326.0,1031598.0,1.5825932194517631
1979-04-01,18958.0,1051694.0,1.802615589705751
1979-07-01,20249.0,1121034.0,1.8062788461366917
1979-10-01,17458.0,1147253.0,1.5217218869769789
1980-01-01,18735.0,1070027.0,1.7508903980927586
1980-04-01,18620.0,1217285.0,1.5296335697885048
1980-07-01,19972.0,1361379.0,1.4670418744523017
1980-10-01,24737.0,1494924.0,1.654732949634898
1981-01-01,21807.0,1507474.0,1.4465921136948299
1981-04-01,22179.0,1481228.0,1.4973386946506546
1981-07-01,21068.0,1279659.0,1.6463761048841916
1981-10-01,23023.0,1382028.0,1.6658852063778737
1982-01-01,19250.0,1238257.0,1.5546045772404273
1982-04-01,19099.0,1209151.0,1.579538039500443
1982-07-01,20798.0,1326070.0,1.5683938253636687
1982-10-01,25791.0,1562485.0,1.650639846142523
1983-01-01,26743.0,1728634.0,1.547059701475269
1983-04-01,32758.0,1946581.0,1.6828480294423915
1983-07-01,33781.0,1914447.0,1.764530436204293
1983-10-01,34177.0,1855966.0,1.8414669234242436
1984-01-01,31723.0,1749244.0,1.813526300504675
1984-04-01,32657.0,1654360.0,1.9739959863633065
1984-07-01,30415.0,1769217.0,1.719122074906583
1984-10-01,31834.0,1789165.0,1.779265746870747
1985-01-01,30614.0,1936090.0,1.5812281453858033
1985-04-01,36878.0,2044553.0,1.8037194438099675
1985-07-01,38968.0,1923657.0,2.025724960322968
1985-10-01,50699.0,2270405.0,2.2330377179401912
1986-01-01,52848.0,2572390.0,2.0544318707505473
1986-04-01,52842.0,2685845.0,1.9674255215770085
1986-07-01,55521.0,2454216.0,2.262270313615428
1986-10-01,57429.0,2682199.0,2.141116300468384
1987-01-01,53567.0,3227855.0,1.659523119842744
1987-04-01,56889.0,3298585.0,1.7246485993236496
1987-07-01,59395.0,3470639.0,1.711356323720214
1987-10-01,41797.0,2710300.0,1.5421540050916873
1988-01-01,40625.0,2882377.0,1.4094270111092337
1988-04-01,41231.0,3005328.0,1.3719301187757211
1988-07-01,42131.0,2972099.0,1.4175503575082795
1988-10-01,43506.0,3075619.0,1.4145445193309054
1989-01-01,39338.0,3226081.0,1.2193742190602157
1989-04-01,44641.0,3441756.0,1.2970413939860932
1989-07-01,44294.0,3736453.0,1.1854558320417787
1989-10-01,42540.0,3812955.0,1.1156701298599117
1990-01-01,41977.0,3613254.0,1.1617505993212767
1990-04-01,40022.0,3779525.0,1.0589161336411321
1990-07-01,36722.0,3177324.0,1.1557524508045136
1990-10-01,38809.0,3531306.0,1.0989985008379337
1991-01-01,36867.0,4073363.0,0.905075241268701
1991-04-01,37562.0,4048446.0,0.9278127953293684
1991-07-01,45059.0,4306115.0,1.0463956489782553
1991-10-01,55066.0,4847773.0,1.135903021861791
1992-01-01,51227.0,4758842.0,1.0764593571293184
1992-04-01,56332.0,4757228.0,1.1841349626294977
1992-07-01,55840.0,4900311.0,1.139519512128924
1992-10-01,53474.0,5421969.0,0.9862468782097426
1993-01-01,59775.0,5670046.0,1.0542242514434628
1993-04-01,59048.0,5758436.0,1.0254173181745878
1993-07-01,67376.0,6024464.0,1.118373352384544
1993-10-01,76123.0,6296866.0,1.208902968556104
1994-01-01,77033.0,6087940.0,1.265337700437258
1994-04-01,76103.0,6051196.0,1.2576522062745943
1994-07-01,72568.0,6309778.0,1.1500880062658305
1994-10-01,75051.0,6317493.0,1.1879870701874937
1995-01-01,69850.0,6800246.0,1.027168723013844
1995-04-01,68742.0,7346130.0,0.935758011361084
1995-07-01,77352.0,7956397.0,0.972198848297791
1995-10-01,78593.0,8481326.0,0.9266593454844207
1996-01-01,89110.0,8880368.0,1.0034494066011679
1996-04-01,89851.0,9263442.0,0.9699526374753573
1996-07-01,86937.0,9450152.0,0.9199534568332869
1996-10-01,94411.0,10061049.0,0.9383812761472485
1997-01-01,101354.0,10158234.0,0.9977521683394969
1997-04-01,110390.0,11765012.0,0.9382905856789606
1997-07-01,127447.0,12776967.0,0.9974745962793831
1997-10-01,131172.0,12994553.0,1.0094383392795427
1998-01-01,140059.0,14807229.0,0.9458825820820357
1998-04-01,151513.0,15059956.0,1.006065356366247
1998-07-01,149053.0,13279793.0,1.122404543504556
1998-10-01,152761.0,15913534.0,0.9599439068656906
1999-01-01,160646.0,16370327.0,0.9813243193004025
1999-04-01,183825.0,17747128.0,1.0358013984009131
1999-07-01,185837.0,16850819.0,1.1028366039656587
1999-10-01,227926.0,19973394.0,1.1411480692765585
