date,clcc,cilm,cis,avg
2003-10-01,2.9,0.0,-1.8,0.36666666666666664
2004-01-01,6.3,-17.9,-10.9,-7.5
2004-04-01,3.2,-22.8,-19.3,-12.966666666666669
2004-07-01,0.0,-20.0,-3.6,-7.866666666666667
2004-10-01,-2.9,-21.1,-18.2,-14.066666666666668
2005-01-01,-2.9,-23.6,-13.0,-13.166666666666666
2005-04-01,-8.3,-24.1,-24.1,-18.833333333333336
2005-07-01,-6.5,-16.7,-11.1,-11.433333333333332
2005-10-01,-3.0,-8.8,-5.3,-5.7
2006-01-01,3.1,-10.7,-7.1,-4.8999999999999995
2006-04-01,-2.6,-12.3,-7.0,-7.3
2006-07-01,-3.0,-8.9,-1.8,-4.566666666666667
2006-10-01,-2.9,0.0,-1.9,-1.5999999999999999
2007-01-01,0.0,0.0,5.4,1.8
2007-04-01,-11.1,-3.8,1.9,-4.333333333333333
2007-07-01,-3.1,7.5,7.7,4.033333333333334
2007-10-01,3.2,19.2,9.6,10.666666666666666
2008-01-01,9.8,32.1,30.4,24.100000000000005
2008-04-01,32.4,55.4,51.8,46.53333333333333
2008-07-01,66.7,57.7,65.4,63.26666666666667
2008-10-01,58.8,83.6,74.5,72.3
2009-01-01,58.8,64.2,69.2,64.06666666666666
2009-04-01,58.1,39.6,42.3,46.666666666666664
2009-07-01,35.3,31.5,34.0,33.6
2009-10-01,15.8,14.0,16.1,15.300000000000002
2010-01-01,2.8,-5.5,3.7,0.3333333333333333
2010-04-01,9.1,-7.1,0.0,0.6666666666666666
2010-07-01,-7.9,-8.8,-9.1,-8.600000000000001
2010-10-01,-10.0,-10.5,-7.1,-9.200000000000001
2011-01-01,-10.0,-10.5,-1.9,-7.466666666666666
2011-04-01,-20.5,-16.4,-13.5,-16.8
2011-07-01,-9.3,-21.8,-7.8,-12.966666666666667
2011-10-01,-7.9,-5.9,-6.3,-6.7
2012-01-01,-11.6,5.4,1.9,-1.433333333333333
2012-04-01,-11.6,-6.9,-1.8,-6.766666666666667
2012-07-01,-10.9,-9.5,-4.9,-8.433333333333332
2012-10-01,-11.1,-7.6,-7.6,-8.766666666666666
2013-01-01,-2.0,-7.4,-7.7,-5.7
2013-04-01,-7.4,-19.1,-23.1,-16.533333333333335
2013-07-01,-3.6,-18.1,-10.0,-10.566666666666668
2013-10-01,-5.2,-8.3,-7.1,-6.866666666666667
2014-01-01,-7.0,-13.7,-4.2,-8.299999999999999
2014-04-01,-9.3,-11.1,-7.0,-9.133333333333333
2014-07-01,-13.0,-10.7,-8.3,-10.666666666666666
2014-10-01,-8.8,-10.5,-8.2,-9.166666666666666
2015-01-01,-1.9,-5.5,-5.7,-4.366666666666667
2015-04-01,-1.8,-5.3,-1.4,-2.8333333333333335
2015-07-01,-7.7,-7.0,-6.0,-6.8999999999999995
2015-10-01,-5.8,7.4,1.5,1.0333333333333334
2016-01-01,-1.9,8.2,4.2,3.5
2016-04-01,-5.7,11.6,5.8,3.9
2016-07-01,-5.6,8.5,7.1,3.3333333333333335
2016-10-01,0.0,1.5,-1.5,0.0
2017-01-01,8.3,1.4,0.0,3.233333333333334
2017-04-01,-7.8,-2.8,-2.9,-4.5
2017-07-01,5.8,-3.9,-4.1,-0.7333333333333333
2017-10-01,9.1,-8.5,-8.8,-2.733333333333334
2018-01-01,1.9,-10.0,0.0,-2.6999999999999997
2018-04-01,9.4,-11.3,-3.0,-1.6333333333333335
2018-07-01,12.0,-15.9,-7.6,-3.8333333333333335
2018-10-01,-2.2,-15.9,-3.1,-7.066666666666667
2019-01-01,6.4,2.8,4.3,4.5
2019-04-01,15.2,-4.2,0.0,3.6666666666666665
2019-07-01,8.5,-2.8,-5.8,-0.033333333333333215
2019-10-01,10.4,5.4,5.6,7.133333333333333
2020-01-01,13.6,0.0,-1.4,4.066666666666666
2020-04-01,38.5,41.5,39.7,39.9
2020-07-01,71.7,71.2,70.0,70.96666666666667
