as_of_date,V5_TDSP,zscore_level,pctl_5y,pctl_10y,delta_4q,delta_8q,delta_4q_zscore,delta_8q_zscore,yoy_pct
1980-04-30,10.608892,,,,,,,,
1980-05-31,10.608892,,,,,,,,
1980-06-30,10.608892,,,,,,,,
1980-07-31,10.629809,,,,,,,,
1980-08-31,10.629809,,,,,,,,
1980-09-30,10.629809,,,,,,,,
1980-10-31,10.402635,,,,,,,,
1980-11-30,10.402635,,,,,,,,
1980-12-31,10.402635,,,,,,,,
1981-01-31,10.253121,,,,,,,,
1981-02-28,10.253121,,,,,,,,
1981-03-31,10.253121,,,,,,,,
1981-04-30,10.291887,,,,-0.31700500000000176,,,,-2.988106580781502
1981-05-31,10.291887,,,,-0.31700500000000176,,,,-2.988106580781502
1981-06-30,10.291887,,,,-0.31700500000000176,,,,-2.988106580781502
1981-07-31,10.424711,,,,-0.20509799999999956,,,,-1.9294608209799446
1981-08-31,10.424711,,,,-0.20509799999999956,,,,-1.9294608209799446
1981-09-30,10.424711,,,,-0.20509799999999956,,,,-1.9294608209799446
1981-10-31,10.316158,,,,-0.08647700000000036,,,,-0.8312989929955328
1981-11-30,10.316158,,,,-0.08647700000000036,,,,-0.8312989929955328
1981-12-31,10.316158,,,,-0.08647700000000036,,,,-0.8312989929955328
1982-01-31,10.392583,,,,0.13946199999999997,,,,1.360190716563281
1982-02-28,10.392583,,,,0.13946199999999997,,,,1.360190716563281
1982-03-31,10.392583,,,,0.13946199999999997,,,,1.360190716563281
1982-04-30,10.461082,,,,0.1691950000000002,-0.14781000000000155,,,1.6439648045105892
1982-05-31,10.461082,,,,0.1691950000000002,-0.14781000000000155,,,1.6439648045105892
1982-06-30,10.461082,,,,0.1691950000000002,-0.14781000000000155,,,1.6439648045105892
1982-07-31,10.515989,,,,0.09127799999999908,-0.11382000000000048,,,0.8755926183469098
1982-08-31,10.515989,,,,0.09127799999999908,-0.11382000000000048,,,0.8755926183469098
1982-09-30,10.515989,,,,0.09127799999999908,-0.11382000000000048,,,0.8755926183469098
