transform,type,ic_full,ic_high_rate,ic_low_rate,auc,auc_effective,n_samples
pctl_5y,Level,-0.25607192698896103,-0.1283747804122375,0.11871629164245591,0.7414026037828544,0.7414026037828544,305
pctl_10y,Level,-0.2715719508997214,-0.1050348848761788,-0.15636281180035164,0.715978874969295,0.715978874969295,305
zscore_level,Level,-0.253010631709337,0.04025105859796576,-0.07557281675775462,0.6887128469663473,0.6887128469663473,305
delta_4q,Change,-0.20375672045496346,0.04318776871812244,0.13461827163271756,0.683984279046917,0.683984279046917,305
delta_delta,Change,0.05982442689140823,0.04493748010596185,0.18169870120631074,0.5622697126013265,0.5622697126013265,305
slope_4q,Change,-0.146402688619384,0.0468719117576201,0.22259876597317063,0.667403586342422,0.667403586342422,305
delta_zscore,Change,-0.1981612619044166,-0.07748758511277709,0.11506276573447269,0.6720093343158928,0.6720093343158928,305
consecutive_increases,Change,-0.01058095170544833,-0.026116058844648807,0.21148108412067398,0.6388786538933924,0.6388786538933924,305
