as_of_date,V2_Ratio,zscore_level,pctl_5y,pctl_10y,delta_12m,delta_24m,delta_12m_zscore,delta_24m_zscore,yoy_pct
2002-04-30,28.14105088017159,,,,,,,,
2002-05-30,28.14105088017159,,,,,,,,
2002-06-30,28.14105088017159,,,,,,,,
2002-07-31,27.41399250478848,,,,,,,,
2002-08-28,27.41399250478848,,,,,,,,
2002-09-30,27.41399250478848,,,,,,,,
2002-10-30,27.888487088498454,,,,,,,,
2002-11-30,27.888487088498454,,,,,,,,
2002-12-30,27.888487088498454,,,,,,,,
2003-01-31,29.606384900502547,,,,,,,,
2003-02-28,29.606384900502547,,,,,,,,
2003-03-30,29.606384900502547,,,,,,,,
2003-04-30,30.85745898599932,,,,2.7164081058277283,,,,9.652831080809898
2003-05-30,30.85745898599932,,,,2.7164081058277283,,,,9.652831080809898
2003-06-30,30.85745898599932,,,,2.7164081058277283,,,,9.652831080809898
2003-07-31,32.035758440960095,,,,4.621765936171613,,,,16.85914933902575
2003-08-28,32.035758440960095,,,,4.621765936171613,,,,16.85914933902575
2003-09-30,32.035758440960095,,,,4.621765936171613,,,,16.85914933902575
2003-10-30,33.489080007420306,,,,5.600592918921851,,,,20.08209660548994
2003-11-30,33.489080007420306,,,,5.600592918921851,,,,20.08209660548994
2003-12-30,33.489080007420306,,,,5.600592918921851,,,,20.08209660548994
2004-01-31,33.515338424213084,,,,3.9089535237105366,,,,13.203076082565502
2004-02-29,33.515338424213084,,,,3.9089535237105366,,,,13.203076082565502
2004-03-30,33.515338424213084,,,,3.9089535237105366,,,,13.203076082565502
2004-04-30,33.223940425624754,,,,2.366481439625435,5.082889545453163,,,7.66907424457457
2004-05-30,33.223940425624754,,,,2.366481439625435,5.082889545453163,,,7.66907424457457
2004-06-30,33.223940425624754,,,,2.366481439625435,5.082889545453163,,,7.66907424457457
2004-07-31,34.09025560957512,,,,2.054497168615022,6.676263104786635,,,6.4131372834557165
2004-08-29,34.09025560957512,,,,2.054497168615022,6.676263104786635,,,6.4131372834557165
2004-09-30,34.09025560957512,,,,2.054497168615022,6.676263104786635,,,6.4131372834557165
2004-10-30,34.605526507248555,,,,1.1164464998282497,6.717039418750101,,,3.33376282531761
2004-11-30,34.605526507248555,,,,1.1164464998282497,6.717039418750101,,,3.33376282531761
2004-12-30,34.605526507248555,,,,1.1164464998282497,6.717039418750101,,,3.33376282531761
2005-01-31,35.34781522836687,,,,1.832476804153785,5.741430327864322,,,5.467576609132241
2005-02-28,35.34781522836687,,,,1.832476804153785,5.741430327864322,,,5.467576609132241
2005-03-30,35.34781522836687,,,,1.832476804153785,5.741430327864322,,,5.467576609132241
2005-04-30,36.11100269521907,,,,2.887062269594317,5.253543709219752,,,8.689704570285105
2005-05-30,36.11100269521907,,,,2.887062269594317,5.253543709219752,,,8.689704570285105
2005-06-30,36.11100269521907,,,,2.887062269594317,5.253543709219752,,,8.689704570285105
2005-07-31,36.30972735385616,1.4290083698145977,,,2.2194717442810443,4.273968912896066,,,6.510575249713435
2005-08-28,36.30972735385616,1.3771776931494697,,,2.2194717442810443,4.273968912896066,,,6.510575249713435
2005-09-30,36.30972735385616,1.330641804608029,,,2.2194717442810443,4.273968912896066,,,6.510575249713435
2005-10-30,36.15028996970799,1.2388888325338758,,,1.5447634624594357,2.6612099622876855,,,4.4639212818677
2005-11-30,36.15028996970799,1.2037544423518125,,,1.5447634624594357,2.6612099622876855,,,4.4639212818677
2005-12-30,36.15028996970799,1.1714685996115948,,,1.5447634624594357,2.6612099622876855,,,4.4639212818677
2006-01-31,36.46431397173613,1.238872819008547,,,1.116498743369263,2.948975547523048,,,3.158607501357724
2006-02-28,36.46431397173613,1.2059494280127452,,,1.116498743369263,2.948975547523048,,,3.158607501357724
2006-03-30,36.46431397173613,1.175534777520452,,,1.116498743369263,2.948975547523048,,,3.158607501357724
2006-04-30,37.20455318862152,1.3723038689292195,,,1.0935504934024465,3.9806127629967634,,,3.028302765869273
2006-05-30,37.20455318862152,1.333402275053372,,,1.0935504934024465,3.9806127629967634,,,3.028302765869273
2006-06-30,37.20455318862152,1.2976498651341493,,,1.0935504934024465,3.9806127629967634,,,3.028302765869273
2006-07-31,32.05530425407646,-0.3211768777630541,,,-4.2544230997797,-2.034951355498656,-3.839352640781931,,-11.717034001159677
2006-08-28,32.05530425407646,-0.31787606867040513,,,-4.2544230997797,-2.034951355498656,-3.242428212433238,,-11.717034001159677
2006-09-30,32.05530425407646,-0.3146751580007579,,,-4.2544230997797,-2.034951355498656,-2.8587261960713226,,-11.717034001159677
2006-10-30,32.31207142305878,-0.22944852580279237,,,-3.838218546649209,-2.293455084189773,-2.440618667290754,,-10.617393525378171
2006-11-30,32.31207142305878,-0.22731943815987585,,,-3.838218546649209,-2.293455084189773,-2.2617235025302165,,-10.617393525378171
2006-12-30,32.31207142305878,-0.22524858398758799,,,-3.838218546649209,-2.293455084189773,-2.117276719468418,,-10.617393525378171
2007-01-31,31.766603022909212,-0.4022740790152635,,,-4.69771094882692,-3.581212205457657,-2.274946378571978,,-12.883036692992944
2007-02-28,31.766603022909212,-0.3983542056806238,,,-4.69771094882692,-3.581212205457657,-2.134232789295724,,-12.883036692992944
2007-03-30,31.766603022909212,-0.394547009138047,,,-4.69771094882692,-3.581212205457657,-2.016849438068844,,-12.883036692992944
2007-04-30,32.47794270094647,-0.1519237700575917,45.0,,-4.726610487675046,-3.6330599942725996,-1.9255440024303612,,-12.70438718538518
2007-05-30,32.47794270094647,-0.1506853382870712,43.333333333333336,,-4.726610487675046,-3.6330599942725996,-1.838279339359273,,-12.70438718538518
