as_of_date,raw,delta_12m,zscore_10y,pctl_10y
1975-02-28,28.686790653260243,,,
1975-03-28,27.98251565496867,,,
1975-04-30,28.2544684602011,,,
1975-05-30,27.682495144653995,,,
1975-06-30,27.54515306164172,,,
1975-07-30,28.44986950848195,,,
1975-08-31,28.269052134865465,,,
1975-09-30,28.32567288830402,,,
1975-10-30,28.358597811245502,,,
1975-11-30,27.943655356017654,,,
1975-12-30,28.010715948614607,,,
1976-01-31,27.8566288511029,,,
1976-02-29,28.070920700849776,-0.6158699524104669,,
1976-03-29,27.423066693805186,-0.5594489611634827,,
1976-04-30,27.041703384994847,-1.2127650752062529,,
1976-05-30,28.196237962111013,0.5137428174570182,,
1976-06-30,27.756596602169175,0.21144354052745484,,
1976-07-30,26.568874519698447,-1.8809949887835025,,
1976-08-31,27.473898185162724,-0.7951539497027404,,
1976-09-30,27.55840779618567,-0.7672650921183504,,
1976-10-30,26.918269009490114,-1.4403288017553884,,
1976-11-30,27.4861514512208,-0.4575039047968552,,
1976-12-30,27.428728591235835,-0.5819873573787717,,
1977-01-31,27.620315787845033,-0.23631306325786738,,
1977-02-28,27.187203741077926,-0.8837169597718493,,
1977-03-28,26.673147398402865,-0.7499192954023215,,
1977-04-30,26.425462722745685,-0.6162406622491616,,
1977-05-30,27.472010266449722,-0.7242276956612912,,
1977-06-30,26.589450965000466,-1.1671456371687086,,
1977-07-30,26.48776671057833,-0.08110780912011606,,
1977-08-31,26.551483302761554,-0.9224148824011706,,
1977-09-30,26.12893659707296,-1.429471199112708,,
1977-10-30,26.2548010012752,-0.6634680082149131,,
1977-11-30,26.980985976081907,-0.5051654751388917,,
1977-12-30,26.241363845494952,-1.187364745740883,,
1978-01-31,26.25065015703145,-1.3696656308135822,,
1978-02-28,26.12996129205606,-1.0572424490218673,,
1978-03-28,25.27592149923827,-1.3972258991645958,,
1978-04-30,25.261440061606443,-1.1640226611392421,,
1978-05-30,26.412552449896033,-1.0594578165536888,,
1978-06-30,24.73754285062231,-1.8519081143781548,,
1978-07-30,25.430301230605444,-1.0574654799728869,,
1978-08-31,25.93734537706917,-0.6141379256923827,,
1978-09-30,25.435382956699122,-0.6935536403738389,,
1978-10-30,25.389693640655185,-0.8651073606200157,,
1978-11-30,25.702360489553282,-1.2786254865286253,,
1978-12-30,25.39233298568197,-0.8490308598129808,,
1979-01-31,25.100087953620626,-1.150562203410825,,
1979-02-28,24.13214257437778,-1.9978187176782782,,
1979-03-28,23.532392705632883,-1.7435287936053854,,
1979-04-30,23.82564330481992,-1.435796756786523,,
1979-05-30,24.950665055920847,-1.4618873939751857,,
1979-06-30,23.89835746539661,-0.8391853852257007,,
1979-07-30,24.301435985975488,-1.1288652446299565,,
1979-08-31,24.356414897206125,-1.5809304798630457,,
1979-09-30,24.388856234488756,-1.0465267222103662,,
1979-10-30,23.949957652120332,-1.4397359885348529,,
1979-11-30,23.87620473981598,-1.8261557497373033,,
1979-12-30,24.004551834923184,-1.3877811507587872,,
1980-01-31,25.715312075154383,0.6152241215337568,,
1980-02-29,23.535632452930834,-0.596510121446947,,
1980-03-29,23.027122581481123,-0.5052701241517603,,
1980-04-30,23.0833296282053,-0.7423136766146214,,
1980-05-30,22.438421810507617,-2.512243245413231,,
1980-06-30,21.930632086528227,-1.9677253788683835,,
1980-07-30,22.849073746197686,-1.452362239777802,,
1980-08-31,22.819341902118317,-1.537072995087808,,
1980-09-30,22.66275223447254,-1.7261040000162176,,
1980-10-30,22.70527706503308,-1.2446805870872524,,
1980-11-30,22.879085726361446,-0.9971190134545331,,
1980-12-30,22.324197995801867,-1.6803538391213166,,
1981-01-31,22.317631632170606,-3.397680442983777,,
1981-02-28,20.119298561847074,-3.4163338910837595,,
1981-03-28,19.267480273362906,-3.7596423081182166,,
1981-04-30,19.01714474458356,-4.066184883621737,,
1981-05-30,19.459284047341153,-2.979137763166463,,
1981-06-30,18.05191068116866,-3.878721405359567,,
1981-07-30,18.162490779471703,-4.686582966725982,,
1981-08-31,18.433852435916414,-4.3854894662019035,,
1981-09-30,18.000019920970665,-4.6627323135018734,,
1981-10-30,17.259631141678078,-5.445645923355002,,
1981-11-30,18.490431120582738,-4.388654605778708,,
1981-12-30,18.628958125276075,-3.6952398705257927,,
1982-01-31,19.16031821456491,-3.157313417605696,,
1982-02-28,18.095135133245886,-2.024163428601188,,
1982-03-28,17.599181741573616,-1.66829853178929,,
1982-04-30,17.163643415338274,-1.8535013292452867,,
1982-05-30,17.899105099698406,-1.560178947642747,,
1982-06-30,17.178605112762003,-0.8733055684066571,,
1982-07-30,16.855333573268545,-1.3071572062031578,,
1982-08-31,16.898907386679884,-1.53494504923653,,
1982-09-30,16.75980473057352,-1.2402151903971443,,
1982-10-30,16.778967737933403,-0.48066340374467487,,
1982-11-30,16.905845110751066,-1.5845860098316713,,
1982-12-30,17.198250288037535,-1.4307078372385398,,
1983-01-31,17.707956294380242,-1.4523619201846678,,
1983-02-28,16.304553545769934,-1.7905815874759519,,
1983-03-28,16.079684593212466,-1.5194971483611504,,
1983-04-30,15.943234975491277,-1.220408439846997,,
1983-05-30,16.41486485483413,-1.484240244864278,,
1983-06-30,16.0291964988801,-1.1494086138819029,,
1983-07-30,16.22718793365685,-0.6281456396116951,,
1983-08-31,16.167380196258176,-0.7315271904217084,,
1983-09-30,16.028508560450668,-0.7312961701228531,,
1983-10-30,16.057285962306008,-0.7216817756273954,,
1983-11-30,16.014738457686803,-0.8911066530642628,,
1983-12-30,16.158994739575615,-1.0392555484619201,,
