as_of_date,factor_raw,pctl_5y,pctl_10y,delta_4q,delta_delta,slope_4q,delta_zscore,consecutive_rises
1960-09-30,32.6821579208,100.0,95.0,1.9680166812000017,-0.3910762748999943,0.6362912499599928,1.0664091278634142,7.0
1960-10-31,32.6821579208,100.0,95.0,1.9680166812000017,-0.3910762748999943,0.6362912499599928,1.0664091278634142,7.0
1960-11-30,32.6821579208,100.0,95.0,1.9680166812000017,-0.3910762748999943,0.6362912499599928,1.0664091278634142,7.0
1960-12-31,32.2189798724,85.0,87.5,1.4044776241,-0.5635390571000016,0.3172126967899952,0.7253589406975097,0.0
1961-01-31,32.2189798724,85.0,87.5,1.4044776241,-0.5635390571000016,0.3172126967899952,0.7253589406975097,0.0
1961-02-28,32.2189798724,85.0,87.5,1.4044776241,-0.5635390571000016,0.3172126967899952,0.7253589406975097,0.0
1961-03-31,32.6594751163,95.0,92.5,1.3077188443000018,-0.09675877979999825,0.11801420382000019,0.6567392627773175,1.0
1961-04-30,32.6594751163,95.0,92.5,1.3077188443000018,-0.09675877979999825,0.11801420382000019,0.6567392627773175,1.0
1961-05-31,32.6594751163,95.0,92.5,1.3077188443000018,-0.09675877979999825,0.11801420382000019,0.6567392627773175,1.0
1961-06-30,32.4371825061,90.0,92.5,0.32548075200000426,-0.9822380922999976,-0.029443100020006347,0.07935298697994847,0.0
1961-07-31,32.4371825061,90.0,92.5,0.32548075200000426,-0.9822380922999976,-0.029443100020006347,0.07935298697994847,0.0
1961-08-31,32.4371825061,90.0,92.5,0.32548075200000426,-0.9822380922999976,-0.029443100020006347,0.07935298697994847,0.0
1961-09-30,31.9101490067,60.0,75.0,-0.7720089141000024,-1.0974896661000066,-0.114878520730001,-0.5662191806814468,0.0
1961-10-31,31.9101490067,60.0,75.0,-0.7720089141000024,-1.0974896661000066,-0.114878520730001,-0.5662191806814468,0.0
1961-11-30,31.9101490067,60.0,75.0,-0.7720089141000024,-1.0974896661000066,-0.114878520730001,-0.5662191806814468,0.0
1961-12-31,31.5852075999,40.0,57.49999999999999,-0.6337722724999999,0.13823664160000249,-0.37498360486000737,-0.4957347167773374,0.0
1962-01-31,31.5852075999,40.0,57.49999999999999,-0.6337722724999999,0.13823664160000249,-0.37498360486000737,-0.4957347167773374,0.0
1962-02-28,31.5852075999,40.0,57.49999999999999,-0.6337722724999999,0.13823664160000249,-0.37498360486000737,-0.4957347167773374,0.0
1962-03-31,32.1151320702,70.0,82.5,-0.5443430461000034,0.08942922639999651,-0.12910927145000747,-0.43345722441345536,1.0
1962-04-30,32.1151320702,70.0,82.5,-0.5443430461000034,0.08942922639999651,-0.12910927145000747,-0.43345722441345536,1.0
1962-05-31,32.1151320702,70.0,82.5,-0.5443430461000034,0.08942922639999651,-0.12910927145000747,-0.43345722441345536,1.0
1962-06-30,31.703909907,50.0,65.0,-0.7332725991000011,-0.1889295529999977,-0.008879282880003612,-0.5173537424147548,0.0
1962-07-31,31.703909907,50.0,65.0,-0.7332725991000011,-0.1889295529999977,-0.008879282880003612,-0.5173537424147548,0.0
1962-08-31,31.703909907,50.0,65.0,-0.7332725991000011,-0.1889295529999977,-0.008879282880003612,-0.5173537424147548,0.0
1962-09-30,31.9583386795,65.0,77.5,0.04818967279999953,0.7814622719000006,0.07081710755999338,0.011776159059529,1.0
1962-10-31,31.9583386795,65.0,77.5,0.04818967279999953,0.7814622719000006,0.07081710755999338,0.011776159059529,1.0
1962-11-30,31.9583386795,65.0,77.5,0.04818967279999953,0.7814622719000006,0.07081710755999338,0.011776159059529,1.0
1962-12-31,31.9269167212,65.0,75.0,0.34170912130000275,0.2935194485000032,-0.031021727450007665,0.2143981897474257,0.0
1963-01-31,31.9269167212,65.0,75.0,0.34170912130000275,0.2935194485000032,-0.031021727450007665,0.2143981897474257,0.0
1963-02-28,31.9269167212,65.0,75.0,0.34170912130000275,0.2935194485000032,-0.031021727450007665,0.2143981897474257,0.0
1963-03-31,32.5809361422,90.0,95.0,0.4658040720000045,0.12409495070000176,0.25996567472999527,0.2743168467502323,1.0
1963-04-30,32.5809361422,90.0,95.0,0.4658040720000045,0.12409495070000176,0.25996567472999527,0.2743168467502323,1.0
1963-05-31,32.5809361422,90.0,95.0,0.4658040720000045,0.12409495070000176,0.25996567472999527,0.2743168467502323,1.0
1963-06-30,32.2954774592,80.0,87.5,0.5915675522000008,0.12576348019999628,0.16654357600999675,0.34329232941343296,0.0
1963-07-31,32.2954774592,80.0,87.5,0.5915675522000008,0.12576348019999628,0.16654357600999675,0.34329232941343296,0.0
1963-08-31,32.2954774592,80.0,87.5,0.5915675522000008,0.12576348019999628,0.16654357600999675,0.34329232941343296,0.0
1963-09-30,32.419970972,80.0,90.0,0.4616322925000027,-0.12993525969999808,0.11937040693999765,0.25375469396618566,1.0
1963-10-31,32.419970972,80.0,90.0,0.4616322925000027,-0.12993525969999808,0.11937040693999765,0.25375469396618566,1.0
1963-11-30,32.419970972,80.0,90.0,0.4616322925000027,-0.12993525969999808,0.11937040693999765,0.25375469396618566,1.0
1963-12-31,32.191406736,65.0,77.5,0.26449001479999623,-0.19714227770000647,-0.10440947058000893,0.12343128936687649,0.0
1964-01-31,32.191406736,65.0,77.5,0.26449001479999623,-0.19714227770000647,-0.10440947058000893,0.12343128936687649,0.0
1964-02-29,32.191406736,65.0,77.5,0.26449001479999623,-0.19714227770000647,-0.10440947058000893,0.12343128936687649,0.0
1964-03-31,33.0295760001,100.0,100.0,0.44863985789999816,0.18414984310000193,0.19737313866999562,0.21443739179062338,1.0
1964-04-30,33.0295760001,100.0,100.0,0.44863985789999816,0.18414984310000193,0.19737313866999562,0.21443739179062338,1.0
1964-05-31,33.0295760001,100.0,100.0,0.44863985789999816,0.18414984310000193,0.19737313866999562,0.21443739179062338,1.0
1964-06-30,32.8863058236,95.0,97.5,0.5908283643999965,0.14218850649999837,0.22371738188999224,0.27385848759043835,0.0
1964-07-31,32.8863058236,95.0,97.5,0.5908283643999965,0.14218850649999837,0.22371738188999224,0.27385848759043835,0.0
1964-08-31,32.8863058236,95.0,97.5,0.5908283643999965,0.14218850649999837,0.22371738188999224,0.27385848759043835,0.0
1964-09-30,33.3833739978,100.0,100.0,0.9634030257999981,0.3725746614000016,0.34326316088999337,0.4881205733013392,1.0
1964-10-31,33.3833739978,100.0,100.0,0.9634030257999981,0.3725746614000016,0.34326316088999337,0.4881205733013392,1.0
1964-11-30,33.3833739978,100.0,100.0,0.9634030257999981,0.3725746614000016,0.34326316088999337,0.4881205733013392,1.0
1964-12-31,33.353866704,95.0,97.5,1.1624599680000003,0.19905694220000214,0.1469940285899922,0.5951409115886499,0.0
1965-01-31,33.353866704,95.0,97.5,1.1624599680000003,0.19905694220000214,0.1469940285899922,0.5951409115886499,0.0
1965-02-28,33.353866704,95.0,97.5,1.1624599680000003,0.19905694220000214,0.1469940285899922,0.5951409115886499,0.0
1965-03-31,34.0945945405,100.0,100.0,1.065018540399997,-0.0974414276000033,0.3595358856899955,0.48408970044457594,1.0
1965-04-30,34.0945945405,100.0,100.0,1.065018540399997,-0.0974414276000033,0.3595358856899955,0.48408970044457594,1.0
1965-05-31,34.0945945405,100.0,100.0,1.065018540399997,-0.0974414276000033,0.3595358856899955,0.48408970044457594,1.0
1965-06-30,34.715467945,100.0,100.0,1.8291621214000031,0.7641435810000061,0.4737009678099951,1.0277798444514745,2.0
1965-07-31,34.715467945,100.0,100.0,1.8291621214000031,0.7641435810000061,0.4737009678099951,1.0277798444514745,2.0
1965-08-31,34.715467945,100.0,100.0,1.8291621214000031,0.7641435810000061,0.4737009678099951,1.0277798444514745,2.0
1965-09-30,35.5320892078,100.0,100.0,2.148715209999999,0.31955308859999576,0.7155540915899968,1.2138114228296402,3.0
1965-10-31,35.5320892078,100.0,100.0,2.148715209999999,0.31955308859999576,0.7155540915899968,1.2138114228296402,3.0
1965-11-30,35.5320892078,100.0,100.0,2.148715209999999,0.31955308859999576,0.7155540915899968,1.2138114228296402,3.0
1965-12-31,35.4791066116,95.0,97.5,2.1252399076000046,-0.02347530239999429,0.49701574760999323,1.1480407107723287,0.0
1966-01-31,35.4791066116,95.0,97.5,2.1252399076000046,-0.02347530239999429,0.49701574760999323,1.1480407107723287,0.0
1966-02-28,35.4791066116,95.0,97.5,2.1252399076000046,-0.02347530239999429,0.49701574760999323,1.1480407107723287,0.0
1966-03-31,36.9035339391,100.0,100.0,2.8089393986000033,0.6836994909999987,0.6511215386099949,1.5919593141535615,1.0
1966-04-30,36.9035339391,100.0,100.0,2.8089393986000033,0.6836994909999987,0.6511215386099949,1.5919593141535615,1.0
1966-05-31,36.9035339391,100.0,100.0,2.8089393986000033,0.6836994909999987,0.6511215386099949,1.5919593141535615,1.0
1966-06-30,36.8414195349,95.0,97.5,2.125951589899998,-0.6829878087000054,0.5352418308799964,1.1070496602733642,0.0
1966-07-31,36.8414195349,95.0,97.5,2.125951589899998,-0.6829878087000054,0.5352418308799964,1.1070496602733642,0.0
1966-08-31,36.8414195349,95.0,97.5,2.125951589899998,-0.6829878087000054,0.5352418308799964,1.1070496602733642,0.0
1966-09-30,37.6510670686,100.0,100.0,2.118977860800001,-0.006973729099996717,0.6453766966799933,1.1351098694450164,1.0
1966-10-31,37.6510670686,100.0,100.0,2.118977860800001,-0.006973729099996717,0.6453766966799933,1.1351098694450164,1.0
1966-11-30,37.6510670686,100.0,100.0,2.118977860800001,-0.006973729099996717,0.6453766966799933,1.1351098694450164,1.0
1966-12-31,37.3301469838,95.0,97.5,1.8510403721999964,-0.26793748860000477,0.20894866677999344,0.9583273667754327,0.0
1967-01-31,37.3301469838,95.0,97.5,1.8510403721999964,-0.26793748860000477,0.20894866677999344,0.9583273667754327,0.0
