,SPX,V1_raw,V1_pctl_5y,V1_pctl_10y,V1_delta_4q,V1_delta_zscore
2021-04-30,4181.18,28.0241886949,50.0,75.0,-0.20699696759999853,-0.5231277839808389
2021-05-31,4204.12,28.0241886949,50.0,75.0,-0.20699696759999853,-0.5231277839808389
2021-06-30,4297.49,28.1608657949,55.00000000000001,77.5,-3.2608043096999992,-2.785059250413628
2021-07-31,4395.27,28.1608657949,55.00000000000001,77.5,-3.2608043096999992,-2.785059250413628
2021-08-31,4522.69,28.1608657949,55.00000000000001,77.5,-3.2608043096999992,-2.785059250413628
2021-09-30,4307.53,28.7438380807,80.0,90.0,-1.2935109005999976,-1.2630056121054025
2021-10-31,4605.39,28.7438380807,80.0,90.0,-1.2935109005999976,-1.2630056121054025
2021-11-30,4567.01,28.7438380807,80.0,90.0,-1.2935109005999976,-1.2630056121054025
2021-12-31,4766.19,28.6170561246,75.0,87.5,0.078086134400003,-0.22804935960933742
2022-01-31,4515.54,28.6170561246,75.0,87.5,0.078086134400003,-0.22804935960933742
2022-02-28,4373.95,28.6170561246,75.0,87.5,0.078086134400003,-0.22804935960933742
2022-03-31,4530.42,29.4658651169,90.0,95.0,1.4416764220000005,0.8276811263864324
2022-04-30,4131.92,29.4658651169,90.0,95.0,1.4416764220000005,0.8276811263864324
2022-05-31,4132.16,29.4658651169,90.0,95.0,1.4416764220000005,0.8276811263864324
2022-06-30,3785.39,30.3449562176,95.0,97.5,2.184090422699999,1.36941025005508
2022-07-31,4130.289,30.3449562176,95.0,97.5,2.184090422699999,1.36941025005508
2022-08-31,3954.99,30.3449562176,95.0,97.5,2.184090422699999,1.36941025005508
2022-09-30,3585.61,31.0581203944,95.0,97.5,2.314282313699998,1.4209164073106213
2022-10-31,3871.97,31.0581203944,95.0,97.5,2.314282313699998,1.4209164073106213
2022-11-30,4080.11,31.0581203944,95.0,97.5,2.314282313699998,1.4209164073106213
2022-12-31,3839.49,30.9889329885,90.0,95.0,2.371876863899999,1.39754795918555
2023-01-31,4076.59,30.9889329885,90.0,95.0,2.371876863899999,1.39754795918555
2023-02-28,3970.16,30.9889329885,90.0,95.0,2.371876863899999,1.39754795918555
2023-03-31,4109.32,30.7702082054,85.0,92.5,1.3043430884999978,0.5999631170815573
2023-04-30,4169.49,30.7702082054,85.0,92.5,1.3043430884999978,0.5999631170815573
2023-05-31,4179.84,30.7702082054,85.0,92.5,1.3043430884999978,0.5999631170815573
2023-06-30,4450.37,30.4126512496,80.0,90.0,0.0676950319999996,-0.28959553316411385
2023-07-31,4588.97,30.4126512496,80.0,90.0,0.0676950319999996,-0.28959553316411385
2023-08-31,4507.67,30.4126512496,80.0,90.0,0.0676950319999996,-0.28959553316411385
2023-09-30,4288.04,30.1980882125,70.0,85.0,-0.8600321818999994,-0.9253771423152372
2023-10-31,4193.81,30.1980882125,70.0,85.0,-0.8600321818999994,-0.9253771423152372
2023-11-30,4567.81,30.1980882125,70.0,85.0,-0.8600321818999994,-0.9253771423152372
2023-12-31,4769.82,30.0948974498,65.0,82.5,-0.894035538699999,-0.9258114365807207
2024-01-31,4845.66,30.0948974498,65.0,82.5,-0.894035538699999,-0.9258114365807207
2024-02-29,5096.28,30.0948974498,65.0,82.5,-0.894035538699999,-0.9258114365807207
2024-03-31,5254.34,30.0242128463,55.00000000000001,77.5,-0.7459953591000001,-0.7964528016575961
2024-04-30,5035.7,30.0242128463,55.00000000000001,77.5,-0.7459953591000001,-0.7964528016575961
2024-05-31,5277.5,30.0242128463,55.00000000000001,77.5,-0.7459953591000001,-0.7964528016575961
2024-06-30,5460.49,29.9592423954,50.0,75.0,-0.4534088541999992,-0.5667689420451683
