date,profit,interest,icr
1963-01-01,47.292,4.544,10.407570422535212
1963-04-01,47.765,4.646,10.280886784330606
1963-07-01,47.875,4.692,10.203537936913897
1963-10-01,51.843,4.776,10.854899497487438
1964-01-01,53.512,4.871,10.985834530897144
1964-04-01,54.927,4.973,11.045043233460689
1964-07-01,57.599,5.116,11.258600469116498
1964-10-01,57.655,5.234,11.015475735575086
1965-01-01,59.218,5.357,11.054321448571962
1965-04-01,58.417,5.491,10.638681478783464
1965-07-01,65.591,5.652,11.604918612880397
1965-10-01,67.985,5.835,11.651242502142246
1966-01-01,69.351,6.057,11.449727587914808
1966-04-01,73.473,6.321,11.623635500711911
1966-07-01,75.712,6.704,11.293556085918857
1966-10-01,76.11,7.018,10.844970076944998
1967-01-01,75.155,7.342,10.236311631707984
1967-04-01,73.49,7.674,9.576492051081573
1967-07-01,70.198,8.127,8.637627660883473
1967-10-01,70.065,8.449,8.292697360634394
1968-01-01,70.939,8.759,8.098983902271948
1968-04-01,75.332,9.041,8.332264130074106
1968-07-01,77.502,9.391,8.252795229475028
1968-10-01,79.093,9.794,8.075658566469267
1969-01-01,79.282,10.352,7.658616692426584
1969-04-01,81.653,11.055,7.386069651741294
1969-07-01,80.729,11.951,6.754999581624968
1969-10-01,77.968,12.928,6.030940594059405
1970-01-01,74.557,14.034,5.312597976343167
1970-04-01,72.431,15.261,4.746150317803552
1970-07-01,64.983,16.667,3.898902021959561
1970-10-01,64.478,17.678,3.6473582984500506
1971-01-01,64.977,18.358,3.53943784726005
1971-04-01,60.251,18.701,3.221806320517619
1971-07-01,70.18,18.799,3.7331772966647168
1971-10-01,72.416,18.849,3.841901427131413
1972-01-01,74.659,18.937,3.9424935311823415
1972-04-01,76.877,19.075,4.030249017038008
1972-07-01,81.789,19.321,4.233165985197453
1972-10-01,82.518,19.651,4.199175614472546
1973-01-01,86.752,20.137,4.308089586333614
1973-04-01,96.537,20.794,4.642541117630086
1973-07-01,108.423,21.767,4.981072265355814
1973-10-01,109.739,22.89,4.794189602446483
1974-01-01,107.694,24.299,4.432034240092185
1974-04-01,114.688,25.977,4.414982484505524
1974-07-01,117.396,28.051,4.185091440590353
1974-10-01,123.489,29.661,4.163345807626175
1975-01-01,134.134,30.948,4.334173452242471
1975-04-01,118.081,31.907,3.700786661234212
1975-07-01,98.563,32.614,3.0221070705831856
1975-10-01,107.566,32.758,3.283655900848648
1976-01-01,133.789,32.432,4.125215836211149
1976-04-01,138.944,31.617,4.394597842932599
1976-07-01,153.823,30.336,5.070642141350212
1976-10-01,154.477,29.676,5.205452217279957
1977-01-01,155.241,29.646,5.236490588949605
1977-04-01,152.724,30.248,5.049061094948426
1977-07-01,164.065,31.482,5.211390635918938
1977-10-01,176.226,32.626,5.401397658309325
1978-01-01,182.671,33.615,5.4342109177450535
1978-04-01,184.159,34.442,5.346931072527728
1978-07-01,178.468,35.19,5.071554418868997
1978-10-01,210.791,36.021,5.8518919519169375
1979-01-01,213.089,37.015,5.756828312846143
1979-04-01,224.773,38.168,5.889043177530916
1979-07-01,224.504,40.134,5.593860567100214
1979-10-01,227.31,42.09,5.400570206699928
1980-01-01,226.334,44.643,5.069865376430795
1980-04-01,220.921,47.792,4.622551891529963
1980-07-01,230.57,52.682,4.376637181580046
1980-10-01,187.91,56.35,3.3346938775510204
1981-01-01,206.632,59.978,3.44512988095635
1981-04-01,223.037,63.577,3.5081397360680757
1981-07-01,227.528,67.443,3.373634031700844
1981-10-01,212.32,71.093,2.986510626925295
1982-01-01,221.966,74.742,2.969762650183297
1982-04-01,204.766,78.377,2.61257766946936
1982-07-01,179.803,81.982,2.1932009465492426
1982-10-01,178.849,83.928,2.1309813173196077
1983-01-01,174.945,84.385,2.0731765124133434
1983-04-01,156.563,83.358,1.878200052784376
1983-07-01,157.49,81.517,1.9319896463314403
1983-10-01,187.864,81.13,2.3155922593368667
1984-01-01,210.082,82.464,2.547560147458285
1984-04-01,215.091,85.511,2.5153605968822728
1984-07-01,238.708,90.317,2.6430018711870416
1984-10-01,237.068,93.658,2.531209293386577
1985-01-01,216.395,95.663,2.2620553401001438
1985-04-01,215.717,96.325,2.2394705424344665
1985-07-01,206.675,95.515,2.163796262367168
1985-10-01,199.336,95.863,2.0793841210894715
1986-01-01,210.977,97.266,2.169072440523924
1986-04-01,203.194,99.727,2.0375023815014988
1986-07-01,166.407,103.379,1.6096789483357354
1986-10-01,163.918,106.288,1.5422060815896437
1987-01-01,166.46,108.624,1.532442185888938
1987-04-01,184.673,110.39,1.6729142132439532
1987-07-01,196.056,111.739,1.7545888185861696
1987-10-01,221.674,113.888,1.9464210452374264
1988-01-01,237.525,116.977,2.0305273686280207
1988-04-01,234.658,120.998,1.9393543694937103
1988-07-01,250.67,126.748,1.977703790197873
1988-10-01,260.8,132.324,1.970919863365678
1989-01-01,265.23,138.364,1.916900349801972
1989-04-01,281.179,144.836,1.9413612637741997
1989-07-01,270.908,151.773,1.784955163303091
1989-10-01,249.494,157.641,1.582672020603777
1990-01-01,229.645,162.502,1.413182606983299
1990-04-01,225.881,166.338,1.3579639048203056
1990-07-01,228.11,169.079,1.349132653966489
1990-10-01,238.67,170.351,1.4010484235490253
1991-01-01,249.782,171.17,1.459262721271251
1991-04-01,236.825,168.116,1.4086999452758808
1991-07-01,225.551,164.656,1.3698316490137012
1991-10-01,231.165,160.04,1.444420144963759
1992-01-01,237.625,154.376,1.539261284137431
1992-04-01,235.312,147.67,1.593499018080856
1992-07-01,240.672,140.578,1.712017527635903
1992-10-01,262.418,133.267,1.9691146345306791
1993-01-01,250.893,127.848,1.962431950441149
1993-04-01,274.246,123.578,2.2192137759148065
1993-07-01,274.817,120.512,2.280411909187467
1993-10-01,307.556,118.068,2.6049056475929127
1994-01-01,304.735,116.302,2.620204295712885
1994-04-01,349.286,115.271,3.030129000355684
1994-07-01,361.026,114.799,3.1448531781635727
1994-10-01,384.884,115.474,3.3330793078961496
1995-01-01,408.163,117.333,3.478671814408564
1995-04-01,437.387,120.277,3.636497418459057
1995-07-01,441.333,124.873,3.534254802879726
1995-10-01,444.383,127.254,3.492094551055369
1996-01-01,462.168,127.901,3.613482302718509
1996-04-01,460.197,125.825,3.657436916352076
1996-07-01,475.538,122.168,3.892492305677428
1996-10-01,489.061,119.511,4.09218398306432
1997-01-01,488.194,118.893,4.106162684094102
1997-04-01,502.884,119.27,4.216349459210195
1997-07-01,504.409,123.197,4.094328595663855
1997-10-01,514.241,124.998,4.113993823901182
1998-01-01,548.64,129.051,4.251342492502964
1998-04-01,541.127,134.535,4.022202400862229
1998-07-01,483.009,147.779,3.268454922553272
1998-10-01,487.162,147.641,3.299638989169676
1999-01-01,500.947,148.551,3.3722223344171365
1999-04-01,474.498,149.128,3.1818169626093025
1999-07-01,482.725,150.091,3.216215495932468
1999-10-01,498.843,153.867,3.242040203552419
2000-01-01,486.029,160.264,3.032677332401537
2000-04-01,490.618,168.891,2.904938688266397
2000-07-01,483.092,180.13,2.6819075112418806
2000-10-01,478.717,190.637,2.511144216495224
2001-01-01,442.666,201.886,2.1926532795736207
2001-04-01,400.322,212.229,1.8862737891617076
2001-07-01,381.881,222.248,1.7182651812389762
2001-10-01,373.086,226.792,1.6450580267381565
2002-01-01,324.584,226.777,1.4312915330919804
2002-04-01,220.624,220.458,1.0007529778914803
2002-07-01,277.812,212.094,1.3098531783077316
2002-10-01,341.888,203.887,1.6768504122381511
2003-01-01,394.563,196.473,2.008230138492312
