date,st_debt
1946-03-01,27.337631653793355
1946-06-01,
1946-09-01,
1946-12-01,
1947-03-01,31.462394817335948
1947-06-01,
1947-09-01,
1947-12-01,
1948-03-01,32.78397213157195
1948-06-01,
1948-09-01,
1948-12-01,
1949-03-01,30.735172604842138
1949-06-01,
1949-09-01,
1949-12-01,
1950-03-01,26.928010385835016
1950-06-01,
1950-09-01,
1950-12-01,
1951-03-01,30.248669767230563
1951-06-01,
1951-09-01,
1951-12-01,
1952-03-01,32.771969153287664
1952-06-01,31.97896360000752
1952-09-01,31.15935748898733
1952-12-01,31.27089470221224
1953-03-01,31.8893561916043
1953-06-01,31.780664194356845
1953-09-01,31.35304312786334
1953-12-01,31.44430960941108
1954-03-01,30.36184859186491
1954-06-01,29.898498775597115
1954-09-01,28.99848699302065
1954-12-01,28.46581298770816
1955-03-01,28.715296327571643
1955-06-01,28.520669146409386
1955-09-01,28.808509389179164
1955-12-01,29.17825385912864
1956-03-01,30.090954179090616
1956-06-01,31.069729462080385
1956-09-01,31.613625191186145
1956-12-01,31.67294925119388
1957-03-01,32.258425001847485
1957-06-01,32.06341769297974
1957-09-01,32.37524723624052
1957-12-01,31.85214984633952
1958-03-01,31.602463670803186
1958-06-01,30.818781985586767
1958-09-01,30.27338220537452
1958-12-01,29.45261142089297
1959-03-01,29.74655402401068
1959-06-01,29.75310836054112
1959-09-01,30.71369285170152
1959-12-01,30.81430214980704
1960-03-01,31.351534502429253
1960-06-01,32.11165888254627
1960-09-01,32.68220308418207
1960-12-01,32.21927309648103
1961-03-01,32.659134819784455
1961-06-01,32.4374466611421
1961-09-01,31.91026359763512
1961-12-01,31.58518001292715
1962-03-01,32.11487226682911
1962-06-01,31.70398927210839
1962-09-01,31.958398314765397
1962-12-01,31.92660111184473
1963-03-01,32.58123163280536
1963-06-01,32.295669297552315
1963-09-01,32.41989836663217
1963-12-01,32.191403635751456
1964-03-01,33.029560708501705
1964-06-01,32.88625745355702
1964-09-01,33.383378481550814
1964-12-01,33.35374706506795
1965-03-01,34.09489632537342
1965-06-01,34.7156424601344
1965-09-01,35.532407407407405
1965-12-01,35.47920401631104
1966-03-01,36.9034490443657
1966-06-01,36.84165683974685
1966-09-01,37.65093827437042
1966-12-01,37.33009708737864
1967-03-01,37.67628883506191
1967-06-01,37.60991215407919
1967-09-01,37.85652444303536
1967-12-01,36.80927091226832
1968-03-01,37.56202172508641
1968-06-01,37.00966085903324
1968-09-01,37.43647836225182
1968-12-01,37.30213052594984
1969-03-01,38.06628196858493
1969-06-01,38.10396534488504
1969-09-01,39.33079378828594
1969-12-01,39.71972217211941
1970-03-01,40.42577638481297
1970-06-01,38.991733167115335
1970-09-01,39.26796009202892
1970-12-01,38.37169555397361
1971-03-01,37.7224282078448
1971-06-01,37.04832946895704
1971-09-01,36.88393439944576
1971-12-01,36.821697448115806
1972-03-01,36.223473253327725
1972-06-01,36.252321492077286
1972-09-01,36.518886465614
1972-12-01,36.220112400060586
1973-03-01,37.089659933961
1973-06-01,38.077749274346026
1973-09-01,38.29714259160059
1973-12-01,37.56382355790382
1974-03-01,37.35764807562714
1974-06-01,37.82309012284777
1974-09-01,38.99602545631424
1974-12-01,39.80343445067598
1975-03-01,40.26368814871783
1975-06-01,38.86453201190384
1975-09-01,37.586324549924974
1975-12-01,36.65195706543194
1976-03-01,36.06795371588478
1976-06-01,35.25485241160447
1976-09-01,35.34858629984824
1976-12-01,34.68231532116044
1977-03-01,34.96038642981288
1977-06-01,35.09998859968786
1977-09-01,35.63321278683892
1977-12-01,35.151051440975515
