date,skew_raw,skew_pctl_1y,skew_pctl_5y,skew_zscore_3m,skew_zscore_1y,skew_zscore_3y,skew_delta_zscore_3m,skew_delta_zscore_1y
1990-01-02,126.08999633789062,,,,,,,
1990-01-03,123.33999633789062,,,,,,,
1990-01-04,122.62000274658203,,,,,,,
1990-01-05,121.2699966430664,,,,,,,
1990-01-08,124.12000274658203,,,,,,,
1990-01-09,119.81999969482422,,,,,,,
1990-01-10,120.81999969482422,,,,,,,
1990-01-11,107.4800033569336,,,,,,,
1990-01-12,116.77999877929688,,,,,,,
1990-01-15,116.16000366210938,,,,,,,
1990-01-16,120.62000274658203,,,,,,,
1990-01-17,123.02999877929688,,,,,,,
1990-01-18,131.13999938964844,,,,,,,
1990-01-19,129.30999755859375,,,,,,,
1990-01-22,118.94999694824219,,,,,,,
1990-01-23,117.94000244140625,,,,,,,
1990-01-24,128.75,,,,,,,
1990-01-25,124.33000183105469,,,,,,,
1990-01-26,122.76000213623047,,,,,,,
1990-01-29,124.5999984741211,,,,,,,
1990-01-30,120.91000366210938,,,,,,,
1990-01-31,128.22000122070312,,,,,,,
1990-02-01,129.52999877929688,,,,,,,
1990-02-02,132.52999877929688,,,,,,,
1990-02-05,121.22000122070312,,,,,,,
1990-02-06,120.30000305175781,,,,,,,
1990-02-07,123.3499984741211,,,,,,,
1990-02-08,124.87000274658203,,,,,,,
1990-02-09,126.05999755859375,,,,,,,
1990-02-12,126.98999786376953,,,,,,,
1990-02-13,133.05999755859375,,,,,,,
1990-02-14,131.5500030517578,,,1.4486909172766689,,,,
1990-02-15,139.07000732421875,,,2.4983085902078863,,,,
1990-02-16,136.61000061035156,,,1.9323437588382193,,,,
1990-02-20,126.47000122070312,,,0.304862789442672,,,,
1990-02-21,129.1699981689453,,,0.7270262307343028,,,,
1990-02-22,124.80000305175781,,,0.013249332581116833,,,,
1990-02-23,125.81999969482422,,,0.17974421521521194,,,,
1990-02-26,130.69000244140625,,,0.9718663726997882,,,,
1990-02-27,131.4499969482422,,,1.069528983640305,,,,
1990-02-28,123.0999984741211,,,-0.3247737843594182,,,,
1990-03-01,123.95999908447266,,,-0.17691881697033796,,,,
1990-03-02,126.44000244140625,,,0.24525993192575063,,,,
1990-03-05,124.23999786376953,,,-0.13467040434666688,,,,
1990-03-06,124.86000061035156,,,-0.02563022719652908,,,,
1990-03-07,121.08000183105469,,,-0.6852305051093227,,,,
1990-03-08,124.45999908447266,,,-0.08108530397569519,,,,
1990-03-09,125.5999984741211,,,0.12332448774159098,,,,
1990-03-12,129.69000244140625,,,0.8537767960526218,,,,
1990-03-13,128.07000732421875,,,0.5503099931011218,,,,
1990-03-14,131.82000732421875,,,1.210470853801557,,,,
1990-03-15,133.02000427246094,,,1.3892103848789994,,,,
1990-03-16,136.72999572753906,,,1.964455406620416,,,,
1990-03-19,138.69000244140625,,,2.1814618339257312,,,,
1990-03-20,134.1999969482422,,,1.3820035152739967,,,,
1990-03-21,132.5800018310547,,,1.0879519936083621,,,,
1990-03-22,129.8000030517578,,,0.6143005085112275,,,,
1990-03-23,130.75999450683594,,,0.7655339221890558,,,,
1990-03-26,129.89999389648438,,,0.6127878510915457,,,,
1990-03-27,135.3300018310547,,,1.4943850651805144,,,,
1990-03-28,133.50999450683594,,,1.164899082478117,,,,
1990-03-29,131.1999969482422,,,0.7674752301166722,,,,
1990-03-30,111.33000183105469,,,-2.4293363045940572,,,,
1990-04-02,126.45999908447266,,,0.009316219021974699,,,,
1990-04-03,117.62999725341797,,,-1.380591584441687,,,,
1990-04-04,114.12999725341797,,,-1.8655849839387042,,,,
1990-04-05,114.41999816894531,,,-1.7655307813847816,,,,
1990-04-06,114.91000366210938,,,-1.6333701322415084,,,,
1990-04-09,117.5999984741211,,,-1.2222350330694252,,,,
1990-04-10,119.08999633789062,,,-0.9948514059463314,,,,
1990-04-11,108.87000274658203,,,-2.5217993139784682,,,,
1990-04-12,121.5199966430664,,,-0.665290712314731,,,,
1990-04-16,126.05000305175781,,,-0.009693682109374371,,,,
1990-04-17,131.24000549316406,,,0.7578015772576681,,,,
1990-04-18,122.73999786376953,,,-0.5404865540760131,,,,
1990-04-19,120.7699966430664,,,-0.815567690007167,,,,
1990-04-20,120.87999725341797,,,-0.7760165240865672,,,,
1990-04-23,120.02999877929688,,,-0.9103751006108803,,,,
1990-04-24,124.55999755859375,,,-0.2380380969996441,,,,
1990-04-25,127.02999877929688,,,0.14782823708243076,,,,
1990-04-26,124.51000213623047,,,-0.24230122115620037,,,,
1990-04-27,118.83999633789062,,,-1.100819179797047,,,,
1990-04-30,110.48999786376953,,,-2.2490704798782524,,,,
1990-05-01,111.98999786376953,,,-1.9523009636102318,,,,
1990-05-02,128.49000549316406,,,0.4053507647390975,,,,
1990-05-03,114.2699966430664,,,-1.563737209488363,,,,
1990-05-04,116.3499984741211,,,-1.230427126464888,,,,
1990-05-07,117.22000122070312,,,-1.0918773315802819,,,,
1990-05-08,117.83000183105469,,,-0.9972343690992586,,,,
1990-05-09,117.2699966430664,,,-1.052045913395637,,,,
1990-05-10,119.5,,,-0.7318691001809708,,,,
1990-05-11,119.51000213623047,,,-0.7134950865379612,,,,
1990-05-14,123.12000274658203,,,-0.2151703381803972,,,,
1990-05-15,125.0999984741211,,,0.07163234062436503,,,,
1990-05-16,125.69999694824219,,,0.16795475212904684,,,,
1990-05-17,121.94999694824219,,,-0.32365690983564005,,,,
1990-05-18,124.68000030517578,,,0.09628813455868566,,,,
1990-05-21,127.3499984741211,,,0.4857895366208009,,,,
1990-05-22,124.87999725341797,,,0.1340826870761755,,,,
1990-05-23,118.80000305175781,,,-0.7444231261396815,,,,
1990-05-24,117.30000305175781,,,-0.9384068682843438,,,,
1990-05-25,111.93000030517578,,,-1.6535065810124645,,,,
1990-05-29,122.18000030517578,,,-0.1618274729309904,,,,
1990-05-30,119.87999725341797,,,-0.48739234770922923,,,,
1990-05-31,120.20999908447266,,,-0.430331085610738,,,,
1990-06-01,119.33000183105469,,,-0.5410207129140493,,,,
1990-06-04,122.77999877929688,,,-0.03875638806732131,,,,
1990-06-05,121.22000122070312,,,-0.2560548011792246,,,,
1990-06-06,121.44999694824219,,,-0.22368351433943445,,,,
1990-06-07,123.98999786376953,,,0.1449168888060001,,,,
1990-06-08,122.12999725341797,,,-0.11639739322818653,,,,
1990-06-11,132.13999938964844,,,1.3193748652960406,,,,
1990-06-12,132.61000061035156,,,1.3615879073764967,,,,
1990-06-13,131.50999450683594,,,1.2067651338957552,,,,
1990-06-14,132.4499969482422,,,1.3444093992413328,,,,
1990-06-15,138.30999755859375,,,2.1610233164216424,,,,
1990-06-18,133.30999755859375,,,1.4990921827881334,,,,
1990-06-19,136.2100067138672,,,1.8991677937922689,,,,
1990-06-20,139.1199951171875,,,2.2409773345444353,,,,
1990-06-21,142.57000732421875,,,2.564502277609359,,,,
1990-06-22,139.6199951171875,,,2.0913440579127465,,,,
1990-06-25,106.80000305175781,,,-2.044106925135837,,,,
1990-06-26,104.6500015258789,,,-2.2044337467308814,,,,
1990-06-27,106.54000091552734,,,-1.8906565264478168,,,,
1990-06-28,107.41999816894531,,,-1.7130498560550529,,,,
1990-06-29,107.30999755859375,2.380952380952381,,-1.6991925150522726,-2.157619928847698,,,
1990-07-02,108.16000366210938,4.724409448818897,,-1.5380626486402402,-2.006983735307263,,,
1990-07-03,107.62000274658203,4.6875,,-1.5531026281967482,-2.033415079441593,,,
1990-07-05,105.08000183105469,0.7751937984496124,,-1.7869126348325308,-2.2943195244562924,,,
1990-07-06,107.2699966430664,3.076923076923077,,-1.508610242515332,-1.9849316403031905,,,
1990-07-09,106.5,1.5267175572519083,,-1.5526780265201685,-2.0374065138922437,,,
1990-07-10,105.19000244140625,1.5151515151515151,,-1.637330694982922,-2.147847406398927,,,
1990-07-11,107.83999633789062,8.270676691729323,,-1.3195924509501642,-1.8033627410691002,,,
1990-07-12,109.70999908447266,10.44776119402985,,-1.1280910296103763,-1.5626126624916612,,,
1990-07-13,109.33000183105469,10.37037037037037,,-1.135458759842115,-1.5859834611235197,,,
1990-07-16,108.6500015258789,9.558823529411764,,-1.1672610764772162,-1.642290597362773,,,
1990-07-17,107.6500015258789,8.02919708029197,,-1.2292222555435015,-1.7320263521678512,,,
