date,ig_oas_raw,us_10y,ig_spread_pctl_1y,ig_spread_pctl_5y,ig_spread_zscore_3m,ig_spread_zscore_1y,ig_spread_zscore_3y,ig_spread_delta_zscore_3m,ig_spread_delta_zscore_1y
2000-03-20,1.34,6.18,98.40637450199203,93.52941176470588,1.9057403471886942,2.1113136236918577,1.3848840188634752,2.0012210318345756,0.5519696544406139
2000-03-21,1.35,6.13,100.0,94.12455934195064,1.9675444648145248,2.2104727088661877,1.4176541991172964,2.100897115978933,0.5859364935759662
2000-03-22,1.35,6.13,99.60159362549801,94.01408450704226,1.8813447256133777,2.185839620922196,1.4139042814012022,2.075739656514932,0.5833780889453481
2000-03-23,1.34,6.08,97.21115537848605,93.20046893317702,1.6639186685540988,2.0415599365305077,1.3735871346501682,1.9304034068278577,0.5442473462678917
2000-03-24,1.34,6.2,96.81274900398407,93.09133489461358,1.60510929532107,2.0202388514444403,1.3699691030615204,2.0377377319640453,0.5049481059090055
2000-03-27,1.35,6.21,99.20318725099602,93.91812865497076,1.69692386327038,2.120321548546704,1.4028194917474082,2.3946767115208907,0.5759433599595639
2000-03-28,1.37,6.17,100.0,94.85981308411215,1.9208504627209226,2.3347317204244957,1.472016924307949,2.6060963591894324,0.6094309034655851
2000-03-29,1.37,6.18,99.60159362549801,94.74912485414235,1.8397508402872276,2.306978440788009,1.467964045926561,2.0593002790310138,0.6435304653121444
2000-03-30,1.45,6.06,100.0,98.01864801864801,2.7701268330676165,3.204856865262536,1.7554596516415897,2.9566236330622515,0.9321869316075319
2000-03-31,1.48,6.03,100.0,98.60302677532013,2.9191412495398747,3.4765093990911886,1.859001304836154,3.2265590659932704,1.0738000011602358
2000-04-03,1.48,6.0,99.60159362549801,98.48837209302326,2.7008572695750765,3.3990156383372403,1.8534847824271616,2.8893231034220968,1.106276984677196
2000-04-04,1.49,5.9,100.0,98.72241579558653,2.6209650598581096,3.431437904232765,1.8835726831668522,2.9223777963542785,1.100389152108955
2000-04-05,1.49,5.9,99.60159362549801,98.60788863109049,2.448789669343908,3.3541355494529568,1.8772110713849013,2.5869299916167257,1.0950797251438875
2000-04-06,1.49,5.93,99.20318725099602,98.4936268829664,2.3052439147363657,3.281548665880226,1.8709007372521433,2.7731887853915334,1.0898173442421288
2000-04-07,1.51,5.86,100.0,98.72685185185185,2.366024884028291,3.418047350583945,1.936802789594096,3.038879416010469,1.1567631465250938
2000-04-10,1.53,5.8,100.0,98.72832369942196,2.4144527127586266,3.539168538837634,2.0020187255442248,3.2903632818264428,1.1860279539553664
2000-04-11,1.55,5.89,100.0,98.72979214780601,2.444405652681207,3.6469425630314802,2.0666694959724934,3.139743001013523,1.2518031425686098
2000-04-12,1.54,5.97,99.60159362549801,98.6159169550173,2.2196898812260635,3.4561772692074215,2.022988264599983,2.8211964670981953,1.2092416914333173
2000-04-13,1.55,5.94,99.60159362549801,98.61751152073732,2.1827466276944234,3.466511185195404,2.0514787526615996,2.7052943931842535,1.2018303788980185
2000-04-14,1.57,5.85,100.0,98.73417721518987,2.2257599655358034,3.562803164701977,2.1154834195916377,2.933078931548425,1.1930052362195496
2000-04-17,1.55,6.01,98.80478087649402,98.39080459770115,1.960221254555575,3.292484121543115,2.035816190693629,2.6641109847128908,1.2258156381946987
2000-04-18,1.55,6.05,98.40637450199203,98.27784156142366,1.8741156040605629,3.220273451813632,2.028436288955568,2.7235696882465583,1.2195362709604676
2000-04-19,1.55,5.99,98.00796812749005,98.1651376146789,1.7947140703936841,3.152260898077652,2.0211234873766455,2.5292991254191075,1.2133195278703088
2000-04-20,1.56,5.99,99.60159362549801,98.62542955326461,1.7947973471194265,3.1763172650635534,2.0494989809151996,2.5546965296372437,1.2798552787124922
2000-04-21,,,0.0,0.0,,,,,
2000-04-24,1.54,6.0,96.41434262948208,97.71428571428571,1.5659845537508537,2.94507309797651,1.9705263305845322,2.459049195368814,1.239978967492056
2000-04-25,1.55,6.14,96.81274900398407,97.8310502283105,1.5829170500853949,2.979799205540317,1.999360547824466,2.496049555584147,1.2697249191674151
2000-04-26,1.57,6.14,99.20318725099602,98.51767388825542,1.67141660663362,3.0957812499567074,2.0634513024517482,2.7431485124866946,1.3347240014801343
2000-04-27,1.59,6.23,99.60159362549801,98.63325740318906,1.746123974605559,3.2027947644691657,2.1269032402587964,2.2117948901487807,1.3990808813918396
2000-04-28,1.63,6.23,99.60159362549801,98.63481228668942,1.9485639957954228,3.4620114255009296,2.2604038918090468,2.6054458654411934,1.5334831104514408
2000-04-30,1.61,,99.20318725099602,98.52272727272727,1.7321404993084157,3.224072771514928,2.1805576929997335,2.629591747050172,1.4917113528011963
