date,vix,vix3m,vts_raw,vts_pctl_1y,vts_pctl_5y,vts_zscore_3m,vts_zscore_1y,vts_zscore_3y,vts_delta_zscore_3m,vts_delta_zscore_1y,vts_is_inverted
2007-12-04,23.79,24.65,-0.03488843813387421,,,,,,,,0
2007-12-05,22.53,23.33,-0.034290612944706256,,,,,,,,0
2007-12-06,20.96,22.1,-0.05158371040723986,,,,,,,,0
2007-12-07,20.85,22.18,-0.05996393146979251,,,,,,,,0
2007-12-10,20.74,21.93,-0.054263565891472965,,,,,,,,0
2007-12-11,23.59,24.12,-0.021973466003316844,,,,,,,,0
2007-12-12,22.47,23.29,-0.03520824388149424,,,,,,,,0
2007-12-13,22.56,23.52,-0.04081632653061229,,,,,,,,0
2007-12-14,23.27,24.21,-0.0388269310202396,,,,,,,,0
2007-12-17,24.52,25.53,-0.0395613004308657,,,,,,,,0
2007-12-18,22.64,24.67,-0.08228617754357526,,,,,,,,0
2007-12-19,21.68,23.81,-0.0894582108357832,,,,,,,,0
2007-12-20,20.58,22.87,-0.10013117621338008,,,,,,,,0
2007-12-21,18.47,21.5,-0.14093023255813963,,,,,,,,0
2007-12-24,18.6,21.14,-0.12015137180700086,,,,,,,,0
2007-12-26,18.66,20.93,-0.10845676063067367,,,,,,,,0
2007-12-27,20.26,22.05,-0.08117913832199541,,,,,,,,0
2007-12-28,20.74,22.56,-0.08067375886524819,,,,,,,,0
2007-12-31,22.5,23.31,-0.03474903474903468,,,,,,,,0
2008-01-02,23.17,23.6,-0.018220338983050866,,,,,,,,0
2008-01-03,22.49,22.81,-0.014028934677772886,,,,,,,,0
2008-01-04,23.94,23.69,0.010552975939214893,,,,,,,,1
2008-01-07,23.79,23.22,0.02454780361757103,,,,,,,,1
2008-01-08,25.43,25.49,-0.0023538642604942206,,,,,,,,0
2008-01-09,24.12,24.5,-0.015510204081632617,,,,,,,,0
2008-01-10,23.45,23.95,-0.02087682672233826,,,,,,,,0
2008-01-11,23.68,24.5,-0.033469387755102,,,,,,,,0
2008-01-14,22.9,23.67,-0.032530629488804474,,,,,,,,0
2008-01-15,23.34,24.39,-0.043050430504305126,,,,,,,,0
2008-01-16,24.38,24.36,0.0008210180623973162,,,,,,,,1
2008-01-17,28.46,26.44,0.07639939485627845,,,,,,,,1
2008-01-18,27.18,25.99,0.045786841092728015,,,1.844921047846235,,,,,1
2008-01-22,31.01,27.39,0.1321650237312888,,,3.055102396974273,,,,,1
2008-01-23,29.02,26.25,0.10552380952380958,,,2.3096670060416726,,,,,1
2008-01-24,27.78,26.0,0.06846153846153857,,,1.5916474978168236,,,,,1
2008-01-25,29.08,26.86,0.08265078183171992,,,1.7217143720112824,,,,,1
2008-01-28,27.78,25.97,0.06969580284944166,,,1.4481605666570363,,,,,1
2008-01-29,27.32,25.65,0.06510721247563356,,,1.324468505211369,,,,,1
2008-01-30,27.62,26.08,0.059049079754601275,,,1.1908965064373878,,,,,1
2008-01-31,26.2,25.21,0.039270130900436184,,,0.8643745349602555,,,,,1
2008-02-01,24.02,24.11,-0.0037328909166320923,,,0.19227428461167595,,,,,0
2008-02-04,25.99,25.36,0.02484227129337535,,,0.6320402730508794,,,,,1
2008-02-05,28.24,26.99,0.04631344942571314,,,0.9512227222353895,,,,,1
2008-02-06,28.97,27.61,0.04925751539297352,,,0.9756354199224397,,,,,1
2008-02-07,27.66,26.74,0.03440538519072556,,,0.7269226624115691,,,,,1
2008-02-08,28.01,27.06,0.03510716925351076,,,0.7258694665886004,,,,,1
2008-02-11,27.6,26.67,0.03487064116985383,,,0.7104979851816077,,,,,1
2008-02-12,26.33,26.11,0.008425890463424013,,,0.28018073376529645,,,,,1
2008-02-13,24.88,25.29,-0.016211941478845415,,,-0.12052395302777663,,,,,0
2008-02-14,25.54,25.47,0.002748331370239443,,,0.19006056620364212,,,,,1
2008-02-15,25.02,25.44,-0.01650943396226423,,,-0.12927631384001115,,,,,0
2008-02-19,25.59,25.47,0.004711425206124886,,,0.22528270658284075,,,,,1
2008-02-20,24.4,24.67,-0.010944466963923927,,,-0.040078971854,,,,,0
2008-02-21,25.12,25.09,0.0011956954962135669,,,0.16641418592054683,,,,,1
2008-02-22,24.06,24.4,-0.013934426229508245,,,-0.0944510385168719,,,,,0
2008-02-25,23.03,23.93,-0.03760969494358535,,,-0.5021595289464166,,,,,0
2008-02-26,21.9,23.11,-0.05235828645607965,,,-0.7509601229090688,,,,,0
2008-02-27,22.69,23.69,-0.04221190375685946,,,-0.5654212151737217,,,,,0
2008-02-28,23.53,24.29,-0.031288596130094604,,,-0.36795428199821784,,,,,0
2008-02-29,26.54,26.39,0.0056839712012124455,,,0.2907432924214402,,,,,1
2008-03-03,26.28,26.08,0.0076687116564417845,,,0.3235927444224267,,,,,1
2008-03-04,25.52,25.76,-0.009316770186335477,,,0.014961246151070157,,,,,0
2008-03-05,24.6,24.91,-0.012444801284624551,,,-0.04199292285059187,,,,,0
2008-03-06,27.55,27.0,0.020370370370370372,,,0.5472738861768145,,,,,1
2008-03-07,27.49,27.11,0.014016967908520694,,,0.416046627021562,,,,,1
2008-03-10,29.38,28.33,0.03706318390398877,,,0.8151803776376929,,,,,1
2008-03-11,26.36,26.09,0.010348792640858528,,,0.30384860156139204,,,,,1
2008-03-12,27.22,27.37,-0.005480453050785594,,,-0.0047040304711379365,,,,,0
2008-03-13,27.29,27.18,0.004047093451067019,,,0.1658818175392621,,,,,1
2008-03-14,31.16,29.36,0.06130790190735702,,,1.1977920359406602,,,,,1
2008-03-17,32.24,29.58,0.08992562542258287,,,1.658078355360706,,,,,1
2008-03-18,25.79,26.01,-0.00845828527489434,,,-0.1411880726686499,,,,,0
2008-03-19,29.84,28.78,0.03683113273106309,,,0.6640409814460528,,,,,1
2008-03-20,26.62,27.29,-0.02455111762550377,,,-0.48240247116169727,,,,,0
2008-03-24,25.73,25.96,-0.008859784283513084,,,-0.21963404024628363,,,,,0
2008-03-25,25.72,26.18,-0.017570664629488197,,,-0.4232284438243577,,,,,0
2008-03-26,26.08,26.61,-0.019917324314167595,,,-0.5430487448969566,,,,,0
2008-03-27,25.88,26.28,-0.015220700152207112,,,-0.5084709793579831,,,,,0
2008-03-28,25.71,26.24,-0.020198170731707266,,,-0.6869971081490323,,,,,0
2008-03-31,25.61,25.64,-0.00117004680187216,,,-0.279213417189831,,,,,0
2008-04-01,22.68,23.61,-0.03939008894536211,,,-1.2658261383742289,,,,,0
2008-04-02,23.43,24.3,-0.03580246913580254,,,-1.1745282854538326,,,,,0
2008-04-03,23.21,24.12,-0.03772802653399665,,,-1.2059191704186332,,,,,0
2008-04-04,22.45,23.52,-0.045493197278911546,,,-1.3700385098116963,,,,,0
2008-04-07,22.42,23.2,-0.03362068965517229,,,-1.0504283886905927,,,,,0
2008-04-08,22.36,23.07,-0.03077589943649761,,,-0.9533793468109472,,,,,0
2008-04-09,22.81,23.55,-0.03142250530785573,,,-0.9512863169972984,,,,,0
2008-04-10,21.98,23.06,-0.046834345186470006,,,-1.296092022056609,,,,,0
2008-04-11,23.46,24.19,-0.03017775940471268,,,-0.8930389494237427,,,,,0
2008-04-14,23.82,24.41,-0.02417042195821384,,,-0.7560859559719844,,,,,0
2008-04-15,22.78,23.7,-0.03881856540084383,,,-1.1002223690635957,,,,,0
2008-04-16,20.53,21.82,-0.05912007332722269,,,-1.563666533234641,,,,,0
2008-04-17,20.37,21.75,-0.06344827586206891,,,-1.6068644560261176,,,,,0
2008-04-18,20.13,21.37,-0.05802526906878813,,,-1.4392496455733854,,,,,0
2008-04-21,20.5,21.46,-0.04473438956197584,,,-1.0952865775312413,,,,,0
2008-04-22,20.87,21.8,-0.04266055045871553,,,-1.0548848565421038,,,,,0
2008-04-23,20.26,21.58,-0.06116774791473567,,,-1.5092120700669551,,,,,0
2008-04-24,20.06,21.18,-0.052880075542965144,,,-1.2643214536619491,,,,,0
2008-04-25,19.59,20.58,-0.04810495626822153,,,-1.1226953784599107,,,,,0
2008-04-28,19.64,20.41,-0.03772660460558552,,,-0.8192821160228593,,,,,0
2008-04-29,20.24,20.82,-0.02785782901056688,,,-0.5182877830102813,,,,,0
2008-04-30,20.79,21.25,-0.021647058823529464,,,-0.31094329317986547,,,,,0
2008-05-01,18.88,19.78,-0.04550050556117302,,,-0.9975267666699231,,,,,0
2008-05-02,18.18,19.53,-0.06912442396313367,,,-1.6462187348475374,,,,,0
2008-05-05,18.9,20.02,-0.05594405594405605,,,-1.2151370946375875,,,,,0
2008-05-06,18.21,19.75,-0.0779746835443037,,,-1.8101031488787875,,,,,0
2008-05-07,19.73,20.96,-0.05868320610687028,,,-1.2117849087087353,,,,,0
2008-05-08,19.4,20.88,-0.07088122605363989,,,-1.5333075613392888,,,,,0
2008-05-09,19.41,20.87,-0.06995687589841881,,,-1.46322158521069,,,,,0
2008-05-12,17.79,20.24,-0.12104743083003955,,,-2.817844263378466,,,,,0
2008-05-13,17.98,20.15,-0.10769230769230764,,,-2.2876741491486303,,,,,0
2008-05-14,17.66,20.0,-0.11699999999999999,,,-2.386174381868785,,,,,0
2008-05-15,16.3,19.28,-0.1545643153526971,,,-3.073979691146684,,,,,0
2008-05-16,16.47,19.57,-0.15840572304547784,,,-2.8944900202841053,,,,,0
2008-05-19,17.01,19.84,-0.142641129032258,,,-2.3749461115596993,,,,,0
2008-05-20,17.58,20.81,-0.15521383950024026,,,-2.473598058678875,,,,,0
2008-05-21,18.59,22.11,-0.15920398009950243,,,-2.396002544008437,,,,,0
2008-05-22,18.05,21.52,-0.16124535315985122,,,-2.290091623739583,,,,,0
2008-05-23,19.55,22.51,-0.13149711239449136,,,-1.6512786482472064,,,,,0
2008-05-27,19.64,22.16,-0.11371841155234652,,,-1.2814649544460586,,,,,0
2008-05-28,19.07,21.66,-0.11957525392428436,,,-1.3468579455282834,,,,,0
2008-05-29,18.14,20.8,-0.12788461538461537,,,-1.44606997658792,,,,,0
2008-05-30,17.83,20.53,-0.13151485630784232,,,-1.4572115878138916,,,,,0
2008-06-02,19.83,21.72,-0.08701657458563539,,,-0.6425569996775776,,,,,0
2008-06-03,20.24,22.11,-0.08457711442786076,,,-0.5786630476362364,,,,,0
2008-06-04,20.8,22.59,-0.07923860115095172,19.047619047619047,,-0.4652039832801105,-0.806966030496123,,,,0
2008-06-05,18.63,21.08,-0.11622390891840606,11.023622047244094,,-1.0951970063891796,-1.418227950300767,,,,0
2008-06-06,23.56,24.2,-0.026446280991735516,54.6875,,0.5410213713897187,0.10053306052608679,,,,0
2008-06-09,23.12,23.85,-0.030607966457023128,52.71317829457365,,0.4956321294711466,0.029720678047194044,,,,0
2008-06-10,23.18,23.84,-0.027684563758389236,54.61538461538461,,0.5672906228899636,0.07927120422930885,,,,0
2008-06-11,24.12,24.32,-0.008223684210526327,70.99236641221374,,0.9353344518709263,0.4106160279508623,,,,0
