date,move_raw,move_pctl_1y,move_pctl_5y,move_zscore_3m,move_zscore_1y,move_zscore_3y,move_delta_zscore_3m,move_delta_zscore_1y
2002-11-12,120.20999908447266,,,,,,,
2002-11-13,122.87999725341797,,,,,,,
2002-11-14,130.2899932861328,,,,,,,
2002-11-15,132.35000610351562,,,,,,,
2002-11-18,129.13999938964844,,,,,,,
2002-11-19,126.48999786376953,,,,,,,
2002-11-20,125.87000274658203,,,,,,,
2002-11-21,127.0199966430664,,,,,,,
2002-11-22,126.2699966430664,,,,,,,
2002-11-25,120.83999633789062,,,,,,,
2002-11-26,120.80999755859375,,,,,,,
2002-11-27,128.30999755859375,,,,,,,
2002-11-29,127.5199966430664,,,,,,,
2002-12-02,127.5199966430664,,,,,,,
2002-12-03,130.63999938964844,,,,,,,
2002-12-04,131.05999755859375,,,,,,,
2002-12-05,130.44000244140625,,,,,,,
2002-12-06,128.4600067138672,,,,,,,
2002-12-09,122.95999908447266,,,,,,,
2002-12-10,115.58999633789062,,,,,,,
2002-12-11,118.33000183105469,,,,,,,
2002-12-12,117.16000366210938,,,,,,,
2002-12-13,116.20999908447266,,,,,,,
2002-12-16,120.33000183105469,,,,,,,
2002-12-17,119.83000183105469,,,,,,,
2002-12-18,118.62999725341797,,,,,,,
2002-12-19,124.06999969482422,,,,,,,
2002-12-20,125.25,,,,,,,
2002-12-23,124.77999877929688,,,,,,,
2002-12-24,121.25,,,,,,,
2002-12-26,118.61000061035156,,,,,,,
2002-12-27,123.87000274658203,,,-0.06003267776082892,,,,
2002-12-30,123.72000122070312,,,-0.09016071689271987,,,,
2002-12-31,123.88999938964844,,,-0.053126234082707426,,,,
2003-01-02,130.8699951171875,,,1.3952194637640043,,,,
2003-01-06,124.83000183105469,,,0.10564650108259305,,,,
2003-01-07,117.52999877929688,,,-1.41214595237337,,,,
2003-01-08,119.41999816894531,,,-0.9829808998071107,,,,
2003-01-09,125.08000183105469,,,0.22018522680827882,,,,
2003-01-10,120.0199966430664,,,-0.852870246530089,,,,
2003-01-13,119.79000091552734,,,-0.8829215633781125,,,,
2003-01-14,114.16000366210938,,,-1.9764122377409252,,,,
2003-01-15,115.3499984741211,,,-1.6505365235338358,,,,
2003-01-16,115.1500015258789,,,-1.6194623659822653,,,,
2003-01-17,116.0199966430664,,,-1.3968468258609827,,,,
2003-01-21,114.80000305175781,,,-1.5742790529174226,,,,
2003-01-22,109.94000244140625,,,-2.3360413745480115,,,,
2003-01-23,107.7300033569336,,,-2.520464652823354,,,,
2003-01-24,109.41000366210938,,,-2.101569584898467,,,,
2003-01-27,117.7300033569336,,,-0.7080147933077138,,,,
2003-01-28,116.88999938964844,,,-0.8341548689967546,,,,
2003-01-29,114.48999786376953,,,-1.2065757051541848,,,,
2003-01-30,115.62000274658203,,,-0.998805267993259,,,,
2003-01-31,110.88999938964844,,,-1.719865175356558,,,,
2003-02-03,109.12000274658203,,,-1.9206187024098749,,,,
2003-02-04,112.05999755859375,,,-1.4131303778228113,,,,
2003-02-05,122.12999725341797,,,0.17231091974647447,,,,
2003-02-06,117.22000122070312,,,-0.6011548585148203,,,,
2003-02-07,115.48999786376953,,,-0.8646715917167295,,,,
2003-02-10,114.06999969482422,,,-1.0723957253286562,,,,
2003-02-11,112.31999969482422,,,-1.321415138912734,,,,
2003-02-12,113.13999938964844,,,-1.168104814559035,,,,
2003-02-13,116.33999633789062,,,-0.6537154887264918,,,,
2003-02-18,115.77999877929688,,,-0.7284635821417442,,,,
2003-02-19,107.12999725341797,,,-1.9937905808970484,,,,
2003-02-20,109.16999816894531,,,-1.6264388558730587,,,,
2003-02-21,104.8499984741211,,,-2.1989067445398125,,,,
2003-02-24,104.05000305175781,,,-2.2078264255817333,,,,
2003-02-25,103.0999984741211,,,-2.2215954938210802,,,,
2003-02-26,114.16000366210938,,,-0.6119310082288157,,,,
2003-02-27,103.80000305175781,,,-2.0102942794659597,,,,
2003-02-28,105.36000061035156,,,-1.7194871566333527,,,,
2003-03-03,101.76000213623047,,,-2.101861538615125,,,,
2003-03-04,100.94000244140625,,,-2.093896253777382,,,,
2003-03-05,103.1500015258789,,,-1.7417607345362858,,,,
2003-03-06,102.83999633789062,,,-1.7165151577929305,,,,
2003-03-07,104.5999984741211,,,-1.4450573194075695,,,,
2003-03-10,105.9800033569336,,,-1.2399361257691146,,,,
2003-03-11,104.27999877929688,,,-1.4300030544307991,,,,
2003-03-12,104.33000183105469,,,-1.3943232286574057,,,,
2003-03-13,110.98999786376953,,,-0.4738195571546386,,,,
2003-03-14,110.3499984741211,,,-0.5395270612792722,,,,
2003-03-17,118.37000274658203,,,0.5715485351069453,,,,
2003-03-18,124.87999725341797,,,1.441566079191659,,,,
2003-03-19,130.27999877929688,,,2.078306429305677,,,,
2003-03-20,125.83000183105469,,,1.4444444550725801,,,,
2003-03-21,124.18000030517578,,,1.2123159654730171,,,,
2003-03-24,119.97000122070312,,,0.6684515605596714,,,,
2003-03-25,116.44999694824219,,,0.21897908503859903,,,,
2003-03-26,116.30000305175781,,,0.2180545884284906,,,,
2003-03-27,115.05999755859375,,,0.07827978545828627,,,,
2003-03-28,114.5,,,0.025946962840837612,,,,
2003-03-31,112.08999633789062,,,-0.28159119149273293,,,,
2003-04-01,109.66000366210938,,,-0.5925390588274805,,,,
2003-04-02,116.79000091552734,,,0.39702036470156055,,,,
2003-04-03,115.94000244140625,,,0.3012638007114535,,,,
2003-04-04,114.37000274658203,,,0.10467394703614065,,,,
2003-04-07,113.4800033569336,,,0.018360561371651773,,,,
2003-04-08,110.08000183105469,,,-0.46594968685813815,,,,
2003-04-09,105.87999725341797,,,-1.074455112168578,,,,
2003-04-10,103.56999969482422,,,-1.377093890984524,,,,
2003-04-11,103.66000366210938,,,-1.3317411640894008,,,,
2003-04-14,102.72000122070312,,,-1.4259247708444356,,,,
2003-04-15,98.56999969482422,,,-1.9651898157072163,,,,
2003-04-16,96.02999877929688,,,-2.20974755447723,,,,
2003-04-17,96.19999694824219,,,-2.070516916792096,,,,
2003-04-21,95.80000305175781,,,-2.0177749634324216,,,,
2003-04-22,98.56999969482422,,,-1.5818405720982787,,,,
2003-04-23,95.79000091552734,,,-1.8587578503105318,,,,
2003-04-24,92.43000030517578,,,-2.166317964248309,,,,
2003-04-25,91.66000366210938,,,-2.1454745244927946,,,,
2003-04-28,91.05999755859375,,,-2.101696439527685,,,,
2003-04-29,90.63999938964844,,,-2.042595944453444,,,,
2003-04-30,89.2699966430664,,,-2.0817657836657384,,,,
2003-05-01,89.66999816894531,,,-1.940064609341542,,,,
2003-05-02,90.66999816894531,,,-1.7565382617928489,,,,
2003-05-05,88.06999969482422,,,-1.9265911885883344,,,,
2003-05-06,84.7300033569336,,,-2.1365278049629604,,,,
2003-05-07,86.37000274658203,,,-1.8864621068338898,,,,
2003-05-08,85.29000091552734,,,-1.9070484648984987,,,,
2003-05-09,82.55999755859375,,,-2.0513464241296693,,,,
2003-05-12,83.20999908447266,,,-1.9012961923177791,,,,
2003-05-13,84.97000122070312,,,-1.6761005324331775,,,,
2003-05-14,88.91999816894531,,,-1.2921690721674004,,,,
2003-05-15,94.38999938964844,,,-0.8020191226574767,,,,
2003-05-16,94.63999938964844,12.698412698412698,,-0.7550440444544633,-1.369187344938359,,,
2003-05-19,97.87999725341797,16.535433070866144,,-0.4579075590982082,-1.10345657393072,,,
2003-05-20,104.38999938964844,28.125,,0.10509929755613516,-0.5865406040498341,,,
2003-05-21,108.54000091552734,34.10852713178294,,0.46292449246621065,-0.2570780391526506,,,
2003-05-22,102.77999877929688,20.76923076923077,,-0.029642596753493733,-0.7104179007067777,,,
2003-05-23,99.52999877929688,18.3206106870229,,-0.3028212279671162,-0.9618925427764835,,,
2003-05-27,99.61000061035156,18.939393939393938,,-0.2909804412616495,-0.9486258866303047,,,
2003-05-28,100.3499984741211,19.548872180451127,,-0.21009891746196913,-0.8837321836134518,,,
2003-05-29,99.43000030517578,17.91044776119403,,-0.28352908608135935,-0.9502289660837393,,,
