date,tlt_shares,tlt_flow_yoy,tlt_flow_3m,tlt_flow_pctl_1y,tlt_flow_pctl_5y,tlt_flow_zscore_3m,tlt_flow_zscore_1y,tlt_flow_zscore_3y,tlt_flow_delta_zscore_3m,tlt_flow_delta_zscore_1y
2002-12-20,5700000.0,,26.923076923076927,,,,,,,
2002-12-23,5700000.0,,26.923076923076927,,,,,,,
2002-12-24,5700000.0,,24.0,,,,,,,
2002-12-26,5700000.0,,24.0,,,,,,,
2002-12-27,5700000.0,,24.0,,,,,,,
2002-12-30,5700000.0,,24.0,,,,,,,
2002-12-31,5700000.0,,24.0,,,,,,,
2003-01-02,5700000.0,,24.0,,,,,,,
2003-01-03,5800000.0,,22.666666666666668,,,,,,,
2003-01-06,5800000.0,,22.666666666666668,,,,,,,
2003-01-07,5800000.0,,22.666666666666668,,,,,,,
2003-01-08,5800000.0,,18.309859154929576,,,,,,,
2003-01-09,5800000.0,,18.309859154929576,,,,,,,
2003-01-10,5400000.0,,23.943661971830988,,,,,,,
2003-01-13,5400000.0,,23.943661971830988,,,,,,,
2003-01-14,5400000.0,,23.943661971830988,,,,,,,
2003-01-15,5400000.0,,23.943661971830988,,,,,,,
2003-01-16,5400000.0,,23.943661971830988,,,,,,,
2003-01-17,5400000.0,,23.943661971830988,,,,,,,
2003-01-21,5400000.0,,23.943661971830988,,,,,,,
2003-01-22,5400000.0,,23.943661971830988,,,,,,,
2003-01-23,5400000.0,,23.943661971830988,,,,,,,
2003-01-24,5400000.0,,23.943661971830988,,,,,,,
2003-01-27,5400000.0,,23.943661971830988,,,,,,,
2003-01-28,5400000.0,,23.943661971830988,,,,,,,
2003-01-29,5100000.0,,28.169014084507037,,,,,,,
2003-01-30,5000000.0,,29.5774647887324,,,,,,,
2003-01-31,5000000.0,,29.5774647887324,,,,,,,
2003-02-03,5000000.0,,29.5774647887324,,,,,,,
2003-02-04,5000000.0,,29.5774647887324,,,,,,,
2003-02-05,5000000.0,,29.5774647887324,,,,,,,
2003-02-06,5000000.0,,29.5774647887324,,,,,,,
2003-02-07,5000000.0,,29.5774647887324,,,,,,,
2003-02-10,5000000.0,,29.5774647887324,,,,,,,
2003-02-11,5000000.0,,29.5774647887324,,,,,,,
2003-02-12,5000000.0,,29.5774647887324,,,,,,,
2003-02-13,4700000.0,,33.80281690140845,,,,,,,
2003-02-14,4600000.0,,35.2112676056338,,,,,,,
2003-02-18,4300000.0,,39.43661971830986,,,,,,,
2003-02-19,4300000.0,,39.43661971830986,,,,,,,
2003-02-20,4300000.0,,39.43661971830986,,,,,,,
2003-02-21,4200000.0,,40.845070422535215,,,,,,,
2003-02-24,4300000.0,,39.43661971830986,,,,,,,
2003-02-25,4300000.0,,39.43661971830986,,,,,,,
2003-02-26,4300000.0,,39.43661971830986,,,,,,,
2003-02-27,3700000.0,,47.887323943661976,,,,,,,
2003-02-28,3800000.0,,46.47887323943662,,,,,,,
2003-03-03,3500000.0,,50.0,,,,,,,
2003-03-04,3400000.0,,49.25373134328358,,,,,,,
2003-03-05,2000000.0,,70.1492537313433,,,,,,,
2003-03-06,2000000.0,,70.1492537313433,,,,,,,
2003-03-07,2000000.0,,70.1492537313433,,,,,,,
2003-03-10,1900000.0,,70.3125,,,,,,,
2003-03-11,1900000.0,,70.3125,,,,,,,
2003-03-12,1900000.0,,69.84126984126983,,,,,,,
2003-03-13,1800000.0,,70.49180327868852,,,,,,,
2003-03-14,2000000.0,,65.51724137931035,,,,,,,
2003-03-17,1800000.0,,68.96551724137932,,,,,,,
2003-03-18,2000000.0,,65.51724137931035,,,,,,,
2003-03-19,2100000.0,,63.1578947368421,,,,,,,
2003-03-20,2100000.0,,63.1578947368421,,,,,,,
2003-03-21,1500000.0,,73.6842105263158,,,,,,,
2003-03-24,1900000.0,,66.66666666666667,,,,,,,
2003-03-25,1900000.0,,66.66666666666667,,,,,,,
2003-03-26,1900000.0,,66.66666666666667,,,,,,,
2003-03-27,1900000.0,,66.66666666666667,,,,,,,
2003-03-28,1900000.0,,66.66666666666667,,,,,,,
2003-03-31,1900000.0,,66.66666666666667,,,,,,,
2003-04-01,1900000.0,,66.66666666666667,,,,,,,
2003-04-02,2000000.0,,64.91228070175438,,,,,,,
2003-04-03,1900000.0,,66.66666666666667,,,,,,,
2003-04-04,1900000.0,,67.24137931034483,,,,,,,
2003-04-07,1900000.0,,67.24137931034483,,,,,,,
2003-04-08,2500000.0,,56.896551724137936,,,,,,,
2003-04-09,2500000.0,,56.896551724137936,,,,,,,
2003-04-10,2500000.0,,56.896551724137936,,,,,,,
2003-04-11,2500000.0,,53.703703703703695,,,,,,,
2003-04-14,2500000.0,,53.703703703703695,,,,,,,
2003-04-15,2600000.0,,51.85185185185186,,,,,,,
2003-04-16,2600000.0,,51.85185185185186,,,,,,,
2003-04-17,500000.0,,90.74074074074075,,,,,,,
2003-04-21,500000.0,,90.74074074074075,,,,,,,
2003-04-22,500000.0,,90.74074074074075,,,,,,,
2003-04-23,500000.0,,90.74074074074075,,,,,,,
2003-04-24,1300000.0,,75.92592592592592,,,,,,,
2003-04-25,1300000.0,,75.92592592592592,,,,,,,
2003-04-28,1600000.0,,70.37037037037037,,,,,,,
2003-04-29,1600000.0,,70.37037037037037,,,,,,,
2003-04-30,1200000.0,,76.47058823529412,,,,,,,
2003-05-01,1200000.0,,76.0,,,,,,,
2003-05-02,1300000.0,,74.0,,,,,,,
2003-05-05,1500000.0,,70.0,,,,,,,
2003-05-06,1500000.0,,70.0,,,,,,,
2003-05-07,1500000.0,,70.0,,,,,,,
2003-05-08,2300000.0,,54.0,,,,,,,
2003-05-09,2100000.0,,58.00000000000001,,,,,,,
2003-05-12,2100000.0,,58.00000000000001,,,,,,,
2003-05-13,2000000.0,,60.0,,,,,,,
2003-05-14,1900000.0,,62.0,,,,,,,
2003-05-15,1500000.0,,68.08510638297872,,,,,,,
2003-05-16,1500000.0,,67.3913043478261,,,,,,,
2003-05-19,1400000.0,,67.44186046511628,,,,,,,
2003-05-20,1700000.0,,60.46511627906976,,,,,,,
2003-05-21,1600000.0,,62.7906976744186,,,,,,,
2003-05-22,1100000.0,,73.80952380952381,,,,,,,
2003-05-23,1100000.0,,74.4186046511628,,,,,,,
2003-05-27,1000000.0,,76.74418604651163,,,,,,,
2003-05-28,1000000.0,,76.74418604651163,,,,,,,
2003-05-29,1200000.0,,67.56756756756756,,,,,,,
2003-05-30,1700000.0,,55.263157894736835,,,,,,,
2003-06-02,1700000.0,,51.42857142857142,,,,,,,
2003-06-03,1800000.0,,47.05882352941176,,,,,,,
2003-06-04,1800000.0,,9.999999999999998,,,,,,,
2003-06-05,1800000.0,,9.999999999999998,,,,,,,
2003-06-06,1800000.0,,9.999999999999998,,,,,,,
2003-06-09,1800000.0,,5.263157894736848,,,,,,,
2003-06-10,1700000.0,,10.526315789473683,,,,,,,
2003-06-11,1600000.0,,15.789473684210531,,,,,,,
2003-06-12,1600000.0,,11.111111111111116,,,,,,,
2003-06-13,1500000.0,,25.0,,,,,,,
2003-06-16,1400000.0,,22.22222222222222,,,,,,,
2003-06-17,1300000.0,,35.0,,,,,,,
2003-06-18,1600000.0,,23.809523809523814,,,,,,,
2003-06-19,1600000.0,,23.809523809523814,,,,,,,
2003-06-20,1700000.0,,-13.33333333333333,,,,,,,
2003-06-23,1700000.0,,10.526315789473683,,,,,,,
2003-06-24,1700000.0,,10.526315789473683,,,,,,,
2003-06-25,1700000.0,,10.526315789473683,,,,,,,
2003-06-26,2400000.0,,-26.315789473684205,,,,,,,
2003-06-27,2400000.0,,-26.315789473684205,,,,,,,
2003-06-30,2400000.0,,-26.315789473684205,,,,,,,
2003-07-01,2400000.0,,-26.315789473684205,,,,,,,
2003-07-02,2400000.0,,-19.999999999999996,,,,,,,
2003-07-03,2400000.0,,-26.315789473684205,,,,,,,
2003-07-07,2400000.0,,-26.315789473684205,,,,,,,
2003-07-08,2500000.0,,-31.578947368421062,,,,,,,
2003-07-09,2500000.0,,-0.0,,,,,,,
2003-07-10,2600000.0,,-4.0000000000000036,,,,,,,
2003-07-11,2800000.0,,-12.00000000000001,,,,,,,
2003-07-14,2800000.0,,-12.00000000000001,,,,,,,
2003-07-15,2800000.0,,-12.00000000000001,,,,,,,
2003-07-16,3100000.0,,-19.23076923076923,,,,,,,
2003-07-17,3100000.0,,-19.23076923076923,,,,,,,
2003-07-18,3100000.0,,-520.0,,,,,,,
2003-07-21,3100000.0,,-520.0,,,,,,,
2003-07-22,3100000.0,-1450.0,-520.0,,,,,,,
2003-07-23,3700000.0,-1750.0,-640.0,,,,,,,
2003-07-24,3900000.0,-1850.0,-200.0,,,,,,,
2003-07-25,5100000.0,-2450.0,-292.30769230769226,,,,,,,
2003-07-28,5100000.0,-2450.0,-218.75,,,,,,,
2003-07-29,5400000.0,34.93975903614458,-237.5,,,,,,,
2003-07-30,5700000.0,31.32530120481928,-375.0,,,,,,,
2003-07-31,6100000.0,26.506024096385538,-408.3333333333333,,,,,,,
2003-08-01,7200000.0,13.253012048192769,-453.8461538461538,,,,,,,
2003-08-04,9300000.0,-12.04819277108433,-520.0,,,,,,,
2003-08-05,10100000.0,-21.68674698795181,-573.3333333333334,,,,,,,
2003-08-06,11700000.0,-40.963855421686745,-680.0,,,,,,,
2003-08-07,11800000.0,-42.16867469879517,-413.0434782608695,,,,,,,
2003-08-08,11400000.0,-37.34939759036144,-442.8571428571429,,,,,,,
2003-08-11,11400000.0,-37.34939759036144,-442.8571428571429,,,,,,,
2003-08-12,11400000.0,-37.34939759036144,-470.0,,,,,,,
2003-08-13,10400000.0,-25.30120481927711,-447.3684210526316,,,,,,,
2003-08-14,10400000.0,-25.30120481927711,-593.3333333333334,,,,,,,
2003-08-15,10400000.0,-25.30120481927711,-593.3333333333334,,,,,,,
2003-08-18,10400000.0,-25.30120481927711,-642.8571428571429,,,,,,,
2003-08-19,10300000.0,-24.096385542168687,-505.88235294117646,,,,,,,
2003-08-20,10300000.0,-24.096385542168687,-543.75,,,,,,,
2003-08-21,9700000.0,-16.867469879518083,-781.8181818181819,,,,,,,
2003-08-22,9700000.0,-16.867469879518083,-781.8181818181819,,,,,,,
2003-08-25,9700000.0,-16.867469879518083,-869.9999999999999,,,,,,,
2003-08-26,9100000.0,-9.63855421686748,-810.0,,,,,,,
2003-08-27,9200000.0,-10.843373493975905,-666.6666666666667,,,,,,,
2003-08-28,9200000.0,-10.843373493975905,-441.1764705882353,,,,,,,
2003-08-29,8900000.0,-7.2289156626506035,-423.5294117647059,,,,,,,
2003-09-02,8900000.0,-7.2289156626506035,-394.44444444444446,,,,,,,
2003-09-03,8600000.0,-3.6144578313253017,-377.77777777777777,,,,,,,
2003-09-04,8600000.0,-3.6144578313253017,-377.77777777777777,,,0.42739991038019864,,,,
2003-09-05,8600000.0,-3.6144578313253017,-377.77777777777777,,,0.41988209085422895,,,,
2003-09-08,8400000.0,-1.2048192771084265,-366.6666666666667,,,0.41594646375897404,,,,
2003-09-09,7800000.0,6.024096385542165,-358.8235294117647,,,0.41881880860626697,,,,
2003-09-10,7800000.0,6.024096385542165,-387.5,,,0.4120973697822753,,,,
2003-09-11,7600000.0,2.564102564102566,-375.0,,,0.40091648930097207,,,,
2003-09-12,7500000.0,3.8461538461538436,-400.0,,,0.39668465634833633,,,,
2003-09-15,7000000.0,10.256410256410254,-400.0,,,0.39995800455844255,,,,
2003-09-16,7000000.0,10.256410256410254,-438.4615384615385,,,0.39424852622120693,,,,
2003-09-17,6500000.0,16.666666666666664,-306.25,,,0.3980549649344568,,,,
2003-09-18,6500000.0,16.666666666666664,-306.25,,,0.3926462746356329,,,,
2003-09-19,6400000.0,17.948717948717952,-276.4705882352941,,,0.38934973254264044,,,,
2003-09-22,6100000.0,21.794871794871796,-258.8235294117647,,,0.39007793211369385,,,,
2003-09-23,5600000.0,28.205128205128204,-229.41176470588235,,,0.39483728460385065,,,,
2003-09-24,5500000.0,29.487179487179482,-223.52941176470588,,,0.391899536603436,,,,
2003-09-25,5500000.0,26.66666666666667,-129.16666666666666,,,0.382806526805169,,,,
2003-09-26,4600000.0,38.66666666666667,-91.66666666666667,,,0.39696745233562797,,,,
2003-09-29,4600000.0,38.66666666666667,-91.66666666666667,,,0.3923374053974359,,,,
2003-09-30,4500000.0,40.0,-87.5,,,0.38997968736899213,,,,
2003-10-01,4200000.0,43.99999999999999,-75.0,,,0.3920265110216803,,,,
2003-10-02,3900000.0,48.0,-62.5,,,0.3941837829120845,,,,
2003-10-03,3900000.0,48.0,-62.5,,,0.3899372124952481,,,,
2003-10-06,3900000.0,48.0,-56.00000000000001,,,0.3858253468153355,,,,
2003-10-07,3900000.0,48.0,-56.00000000000001,,,0.3818411963811106,,,,
2003-10-08,3900000.0,45.070422535211264,-50.0,,,0.3730877992989835,,,,
2003-10-09,3800000.0,46.47887323943662,-35.71428571428572,,,0.3717712087433063,,,,
2003-10-10,4400000.0,38.02816901408451,-57.14285714285714,,,0.3538229591879446,,,,
2003-10-13,4400000.0,38.02816901408451,-57.14285714285714,,,0.35048563577216263,,,,
2003-10-14,4400000.0,38.02816901408451,-41.93548387096775,,,0.3472411818622893,,,,
2003-10-15,4400000.0,38.02816901408451,-41.93548387096775,,,0.3440853614396879,,,,
2003-10-16,4400000.0,38.02816901408451,-41.93548387096775,,,0.34101420453547365,,,,
2003-10-17,4600000.0,35.2112676056338,-48.38709677419355,,,0.33305419124563856,,,,
2003-10-20,4700000.0,33.80281690140845,-51.61290322580645,,,0.30180087751111895,,,,
2003-10-21,4700000.0,33.80281690140845,-27.027027027027017,,,0.2698680584482724,,,,
2003-10-22,4700000.0,33.80281690140845,-20.512820512820507,,,0.23477496923526153,,,,
2003-10-23,4400000.0,38.02816901408451,13.725490196078427,,,0.21528511758443047,,,,
2003-10-24,4400000.0,38.02816901408451,13.725490196078427,,,0.9866593187573413,,,,
2003-10-27,4900000.0,30.98591549295775,9.259259259259256,,,0.7375912544434907,,,,
2003-10-28,4800000.0,32.3943661971831,15.789473684210531,,,0.7872360306098357,,,,
2003-10-29,4500000.0,36.61971830985915,26.22950819672131,,,0.929185186966036,,,,
2003-10-30,4200000.0,40.845070422535215,41.666666666666664,,,1.0549883520759353,,,,
2003-10-31,4200000.0,40.845070422535215,54.83870967741935,,,1.0220600343424133,,,,
2003-11-03,3800000.0,46.47887323943662,62.37623762376238,,,1.1830182597034737,,,,
2003-11-04,3700000.0,47.887323943661976,68.37606837606837,,,1.2052650217323901,,,,
2003-11-05,3700000.0,47.887323943661976,68.64406779661016,,,1.1814159281696146,,,,
2003-11-06,3700000.0,47.887323943661976,67.54385964912281,,,1.1561034655690978,,,,
2003-11-07,3500000.0,50.70422535211267,69.29824561403508,,,1.2378759310511924,,,,
2003-11-10,3400000.0,52.112676056338024,70.17543859649122,,,1.27033715652333,,,,
2003-11-11,3100000.0,56.33802816901409,70.1923076923077,,,1.4012233793946287,,,,
2003-11-12,3100000.0,56.33802816901409,70.1923076923077,,,1.368077419755364,,,,
2003-11-13,3100000.0,56.33802816901409,70.1923076923077,,,1.3381327962214362,,,,
2003-11-14,3100000.0,56.33802816901409,70.1923076923077,,,1.3114922465751488,,,,
2003-11-17,2900000.0,59.154929577464785,71.84466019417476,,,1.4025821357850674,,,,
2003-11-18,2900000.0,59.154929577464785,71.84466019417476,,,1.379207246478689,,,,
2003-11-19,2600000.0,63.38028169014085,73.1958762886598,,,1.529392361568312,,,,
2003-11-20,2600000.0,63.38028169014085,73.1958762886598,,,1.4978386023241135,,,,
2003-11-21,2600000.0,63.38028169014085,73.1958762886598,,,1.470816364399314,,,,
2003-11-24,2600000.0,63.38028169014085,71.42857142857143,,,1.4367475589359602,,,,
