date,hy_oas_raw,us_10y,hy_spread_pctl_1y,hy_spread_pctl_5y,hy_spread_zscore_3m,hy_spread_zscore_1y,hy_spread_zscore_3y,hy_spread_delta_zscore_3m,hy_spread_delta_zscore_1y
1990-01-01,,,,,,,,,
1990-01-02,,7.94,,,,,,,
1990-01-03,,7.99,,,,,,,
1990-01-04,,7.98,,,,,,,
1990-01-05,,7.99,,,,,,,
1990-01-08,,8.02,,,,,,,
1990-01-09,,8.02,,,,,,,
1990-01-10,,8.03,,,,,,,
1990-01-11,,8.04,,,,,,,
1990-01-12,,8.1,,,,,,,
1990-01-15,,,,,,,,,
1990-01-16,,8.2,,,,,,,
1990-01-17,,8.19,,,,,,,
1990-01-18,,8.32,,,,,,,
1990-01-19,,8.26,,,,,,,
1990-01-22,,8.27,,,,,,,
1990-01-23,,8.26,,,,,,,
1990-01-24,,8.38,,,,,,,
1990-01-25,,8.42,,,,,,,
1990-01-26,,8.49,,,,,,,
1990-01-29,,8.5,,,,,,,
1990-01-30,,8.51,,,,,,,
1990-01-31,,8.43,,,,,,,
1990-02-01,,8.42,,,,,,,
1990-02-02,,8.5,,,,,,,
1990-02-05,,8.53,,,,,,,
1990-02-06,,8.57,,,,,,,
1990-02-07,,8.52,,,,,,,
1990-02-08,,8.49,,,,,,,
1990-02-09,,8.31,,,,,,,
1990-02-12,,8.4,,,,,,,
1990-02-13,,8.35,,,,,,,
1990-02-14,,8.36,,,,,,,
1990-02-15,,8.43,,,,,,,
1990-02-16,,8.42,,,,,,,
1990-02-19,,,,,,,,,
1990-02-20,,8.62,,,,,,,
1990-02-21,,8.62,,,,,,,
1990-02-22,,8.54,,,,,,,
1990-02-23,,8.53,,,,,,,
1990-02-26,,8.46,,,,,,,
1990-02-27,,8.41,,,,,,,
1990-02-28,,8.51,,,,,,,
1990-03-01,,8.59,,,,,,,
1990-03-02,,8.54,,,,,,,
1990-03-05,,8.65,,,,,,,
1990-03-06,,8.59,,,,,,,
1990-03-07,,8.58,,,,,,,
1990-03-08,,8.57,,,,,,,
1990-03-09,,8.65,,,,,,,
1990-03-12,,8.63,,,,,,,
1990-03-13,,8.73,,,,,,,
1990-03-14,,8.65,,,,,,,
1990-03-15,,8.66,,,,,,,
1990-03-16,,8.59,,,,,,,
1990-03-19,,8.59,,,,,,,
1990-03-20,,8.54,,,,,,,
1990-03-21,,8.55,,,,,,,
1990-03-22,,8.53,,,,,,,
1990-03-23,,8.52,,,,,,,
1990-03-26,,8.51,,,,,,,
1990-03-27,,8.52,,,,,,,
1990-03-28,,8.51,,,,,,,
1990-03-29,,8.6,,,,,,,
1990-03-30,,8.65,,,,,,,
1990-04-02,,8.65,,,,,,,
1990-04-03,,8.63,,,,,,,
1990-04-04,,8.55,,,,,,,
1990-04-05,,8.57,,,,,,,
1990-04-06,,8.56,,,,,,,
1990-04-09,,8.59,,,,,,,
1990-04-10,,8.6,,,,,,,
1990-04-11,,8.63,,,,,,,
1990-04-12,,8.64,,,,,,,
1990-04-13,,,,,,,,,
1990-04-16,,8.68,,,,,,,
1990-04-17,,8.77,,,,,,,
1990-04-18,,8.86,,,,,,,
1990-04-19,,8.87,,,,,,,
1990-04-20,,8.95,,,,,,,
1990-04-23,,8.98,,,,,,,
1990-04-24,,9.0,,,,,,,
1990-04-25,,9.01,,,,,,,
1990-04-26,,9.07,,,,,,,
1990-04-27,,9.06,,,,,,,
1990-04-30,,9.04,,,,,,,
1990-05-01,,9.08,,,,,,,
1990-05-02,,9.09,,,,,,,
1990-05-03,,9.04,,,,,,,
1990-05-04,,8.84,,,,,,,
1990-05-07,,8.87,,,,,,,
1990-05-08,,8.84,,,,,,,
1990-05-09,,8.88,,,,,,,
1990-05-10,,8.82,,,,,,,
1990-05-11,,8.64,,,,,,,
1990-05-14,,8.61,,,,,,,
1990-05-15,,8.65,,,,,,,
1990-05-16,,8.68,,,,,,,
1990-05-17,,8.69,,,,,,,
1990-05-18,,8.75,,,,,,,
1990-05-21,,8.74,,,,,,,
1990-05-22,,8.65,,,,,,,
1990-05-23,,8.61,,,,,,,
1990-05-24,,8.63,,,,,,,
1990-05-25,,8.69,,,,,,,
1990-05-28,,,,,,,,,
1990-05-29,,8.66,,,,,,,
1990-05-30,,8.62,,,,,,,
1990-05-31,,8.6,,,,,,,
1990-06-01,,8.44,,,,,,,
1990-06-04,,8.44,,,,,,,
1990-06-05,,8.47,,,,,,,
1990-06-06,,8.46,,,,,,,
1990-06-07,,8.46,,,,,,,
1990-06-08,,8.46,,,,,,,
1990-06-11,,8.48,,,,,,,
1990-06-12,,8.48,,,,,,,
1990-06-13,,8.4,,,,,,,
1990-06-14,,8.38,,,,,,,
1990-06-15,,8.46,,,,,,,
1990-06-18,,8.5,,,,,,,
1990-06-19,,8.51,,,,,,,
1990-06-20,,8.55,,,,,,,
1990-06-21,,8.52,,,,,,,
1990-06-22,,8.51,,,,,,,
1990-06-25,,8.58,,,,,,,
1990-06-26,,8.56,,,,,,,
1990-06-27,,8.52,,,,,,,
1990-06-28,,8.47,,,,,,,
1990-06-29,,8.43,,,,,,,
1990-07-02,,8.43,,,,,,,
1990-07-03,,8.4,,,,,,,
1990-07-04,,,,,,,,,
1990-07-05,,8.42,,,,,,,
1990-07-06,,8.51,,,,,,,
1990-07-09,,8.57,,,,,,,
1990-07-10,,8.57,,,,,,,
1990-07-11,,8.57,,,,,,,
1990-07-12,,8.5,,,,,,,
1990-07-13,,8.45,,,,,,,
1990-07-16,,8.44,,,,,,,
1990-07-17,,8.44,,,,,,,
1990-07-18,,8.5,,,,,,,
1990-07-19,,8.51,,,,,,,
1990-07-20,,8.48,,,,,,,
1990-07-23,,8.48,,,,,,,
1990-07-24,,8.53,,,,,,,
1990-07-25,,8.49,,,,,,,
1990-07-26,,8.49,,,,,,,
1990-07-27,,8.42,,,,,,,
1990-07-30,,8.34,,,,,,,
1990-07-31,,8.36,,,,,,,
1990-08-01,,8.29,,,,,,,
1990-08-02,,8.41,,,,,,,
1990-08-03,,8.43,,,,,,,
1990-08-06,,8.71,,,,,,,
1990-08-07,,8.78,,,,,,,
1990-08-08,,8.77,,,,,,,
1990-08-09,,8.66,,,,,,,
1990-08-10,,8.68,,,,,,,
1990-08-13,,8.71,,,,,,,
1990-08-14,,8.66,,,,,,,
1990-08-15,,8.64,,,,,,,
1990-08-16,,8.76,,,,,,,
1990-08-17,,8.8,,,,,,,
1990-08-20,,8.81,,,,,,,
1990-08-21,,8.84,,,,,,,
1990-08-22,,8.91,,,,,,,
1990-08-23,,9.0,,,,,,,
1990-08-24,,9.05,,,,,,,
1990-08-27,,8.9,,,,,,,
1990-08-28,,8.94,,,,,,,
1990-08-29,,8.84,,,,,,,
1990-08-30,,8.86,,,,,,,
1990-08-31,,8.86,,,,,,,
1990-09-03,,,,,,,,,
1990-09-04,,8.9,,,,,,,
1990-09-05,,8.86,,,,,,,
1990-09-06,,8.84,,,,,,,
1990-09-07,,8.81,,,,,,,
1990-09-10,,8.85,,,,,,,
1990-09-11,,8.83,,,,,,,
1990-09-12,,8.82,,,,,,,
1990-09-13,,8.82,,,,,,,
1990-09-14,,8.87,,,,,,,
1990-09-17,,8.9,,,,,,,
1990-09-18,,8.9,,,,,,,
1990-09-19,,8.88,,,,,,,
1990-09-20,,8.91,,,,,,,
1990-09-21,,8.99,,,,,,,
1990-09-24,,9.04,,,,,,,
1990-09-25,,9.02,,,,,,,
1990-09-26,,9.0,,,,,,,
1990-09-27,,8.91,,,,,,,
1990-09-28,,8.82,,,,,,,
1990-10-01,,8.71,,,,,,,
1990-10-02,,8.69,,,,,,,
1990-10-03,,8.71,,,,,,,
1990-10-04,,8.67,,,,,,,
1990-10-05,,8.65,,,,,,,
1990-10-08,,,,,,,,,
1990-10-09,,8.83,,,,,,,
1990-10-10,,8.89,,,,,,,
1990-10-11,,8.92,,,,,,,
1990-10-12,,8.84,,,,,,,
1990-10-15,,8.8,,,,,,,
1990-10-16,,8.79,,,,,,,
1990-10-17,,8.76,,,,,,,
1990-10-18,,8.71,,,,,,,
1990-10-19,,8.62,,,,,,,
1990-10-22,,8.63,,,,,,,
1990-10-23,,8.65,,,,,,,
1990-10-24,,8.66,,,,,,,
1990-10-25,,8.62,,,,,,,
1990-10-26,,8.63,,,,,,,
1990-10-29,,8.7,,,,,,,
