date,hy_oas_raw,us_10y,hy_spread_pctl_1y,hy_spread_pctl_5y,hy_spread_zscore_3m,hy_spread_zscore_1y,hy_spread_zscore_3y,hy_spread_delta_zscore_3m,hy_spread_delta_zscore_1y
2014-09-18,3.98,2.63,61.354581673306775,12.231930103256552,0.6991586530640435,0.17337226814883347,-0.9894450863807948,2.039188730288172,0.011524743523504521
2014-09-19,3.97,2.59,59.76095617529881,11.914217633042098,0.6310769426786343,0.15137822841465834,-0.9965684652074718,1.8620909498280613,0.011998026646615978
2014-09-22,4.02,2.57,64.9402390438247,12.946783161239079,0.828989116801288,0.3362951978901644,-0.9499977075867928,1.939527152649637,0.06613187786684749
2014-09-23,4.13,2.54,74.9003984063745,14.932486100079428,1.2931666905691157,0.7351600305582439,-0.8494762995545487,2.301832517963063,0.17417243704964525
2014-09-24,4.18,2.57,78.48605577689243,15.647339158061953,1.4746323818226854,0.9266019345060988,-0.8026568276543229,2.361831406603535,0.2776062803685413
2014-09-25,4.33,2.52,88.84462151394422,18.1890389197776,2.073068148199696,1.4760148762345753,-0.6654568371003157,2.971043080615171,0.4021897083081051
2014-09-26,4.4,2.54,93.22709163346613,19.698173153296267,2.286312865176103,1.7402671339536029,-0.6001951231692819,3.3175236686753165,0.48451937795046573
2014-09-29,4.51,2.5,98.00796812749005,21.207307386814932,2.629453020446889,2.1393349425756862,-0.49830152401778205,3.749076603852745,0.6427642187267607
2014-09-30,4.4,2.52,93.22709163346613,19.698173153296267,2.0811193227178584,1.7522617919949615,-0.5965902050840763,3.346642312159104,0.5318903766986807
2014-10-01,4.45,2.42,97.60956175298804,20.81016679904686,2.215719557065808,1.939385142983842,-0.5490063074408759,3.5184944210201228,0.5963237983580111
2014-10-02,4.42,2.44,95.2191235059761,20.095313741064334,2.018147479503865,1.8330063567051316,-0.574773306008141,3.303208989207957,0.6365726468825164
2014-10-03,4.29,2.45,86.45418326693228,17.633042096902305,1.4257605338386414,1.365663687056785,-0.6932726721030275,2.752419763551815,0.5642652290444047
2014-10-06,4.26,2.43,84.4621513944223,17.156473391580622,1.2578429442138472,1.2641850708399727,-0.7198440626541591,2.3812307243127298,0.5055018990951008
2014-10-07,4.37,2.36,92.82868525896414,19.53931691818904,1.68129346644815,1.6712773959263751,-0.6159633080255699,2.80358341733423,0.6067282614471284
2014-10-08,4.48,2.35,98.40637450199203,21.52501985702939,2.0784881641307393,2.0690884263832103,-0.5112327734757768,3.2872655997968687,0.7477526326353553
2014-10-09,4.52,2.34,98.80478087649402,21.92216044479746,2.1562015544972364,2.207474184709804,-0.47165566083132626,3.34541692610924,0.7652391669076757
2014-10-10,4.66,2.31,98.80478087649402,26.21127879269261,2.5879834993452917,2.6952223068244834,-0.3370130062360203,3.7537358167580113,0.8779375611735356
2014-10-13,4.66,,98.40637450199203,26.21127879269261,2.4308419504931105,2.673258305103279,-0.33458244421921235,3.462081253717444,0.8681698375272685
2014-10-14,4.83,2.21,98.80478087649402,35.74265289912629,2.8521312673474224,3.231477091947537,-0.16973776433493504,3.9181351300979013,1.0498713965225739
2014-10-15,5.08,2.15,98.80478087649402,42.49404289118348,3.3679230950395,3.992772314275391,0.07292956146656299,4.625061998593759,1.3578376926847897
2014-10-16,4.98,2.17,98.40637450199203,39.793486894360605,2.793022399811863,3.557320947258709,-0.019960207852361415,4.207554179033641,1.3105143543646791
2014-10-17,4.68,2.22,97.60956175298804,27.08498808578237,1.7643982526656734,2.518437462979839,-0.3067857819680821,3.2111242415845833,1.0013228670159375
2014-10-20,4.68,2.2,97.21115537848605,27.08498808578237,1.6970580622752074,2.4911714834760392,-0.30428774404930164,3.2998342387929553,1.0010513038304347
2014-10-21,4.5,2.23,95.2191235059761,21.604447974583003,1.1064707389104398,1.8874165337551623,-0.4772120185650369,2.6162321472562793,0.806053579659956
2014-10-22,4.44,2.25,94.02390438247012,20.81016679904686,0.8923674977027067,1.6848143997138425,-0.5338710500564654,2.4321722075684327,0.7563283659603732
2014-10-23,4.38,2.29,90.83665338645417,19.698173153296267,0.6814578833126548,1.4873473319196557,-0.5909240719990779,2.0793545461944105,0.658194670206092
2014-10-24,4.38,2.29,90.83665338645417,19.698173153296267,0.6571921799601517,1.4873473319196557,-0.5891961821246608,2.0981262800813347,0.6573575552820478
2014-10-27,4.41,2.27,92.43027888446214,20.33359809372518,0.7310245461946636,1.583414223676428,-0.5577330217155123,1.5593713602986756,0.7152646336699693
2014-10-28,4.39,2.3,91.63346613545816,20.095313741064334,0.6591367087558653,1.5190126342283632,-0.5758665124117738,0.9568928753321436,0.6271629354916594
